idx,site,date,time,type,start,end,duration,name,element,url,id
"1","http://localhost:8080/","2025-1-6","11:56:52","LCP","188.90000000037253","238.90000000037253","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"2","http://localhost:8080/","2025-1-6","11:56:57","LCP","41.39999999944121","94.59999999962747","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"3","http://localhost:8080/","2025-1-6","11:57:03","LCP","40.19999999925494","88.59999999962747","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"4","http://localhost:8080/","2025-1-6","11:57:09","LCP","35.80000000074506","84.20000000018626","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"5","http://localhost:8080/","2025-1-6","11:57:14","LCP","40.700000000186265","95.6000000005588","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"6","http://localhost:8080/","2025-1-6","11:57:20","LCP","32","86.29999999981374","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"7","http://localhost:8080/","2025-1-6","11:57:25","LCP","33","86.3999999994412","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"8","http://localhost:8080/","2025-1-6","11:57:31","LCP","32.5","82.5","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"9","http://localhost:8080/","2025-1-6","11:57:37","LCP","31.700000000186265","78.90000000037253","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"10","http://localhost:8080/","2025-1-6","11:57:42","LCP","31.700000000186265","78.70000000018626","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"11","http://localhost:8080/","2025-1-6","11:57:48","LCP","30.399999999441206","82.79999999981374","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"12","http://localhost:8080/","2025-1-6","11:57:53","LCP","33","84.20000000018626","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"13","http://localhost:8080/","2025-1-6","11:57:59","LCP","29.299999999813735","83","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"14","http://localhost:8080/","2025-1-6","11:58:04","LCP","29.100000000558794","78.6000000005588","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"15","http://localhost:8080/","2025-1-6","11:58:10","LCP","32.90000000037253","83.29999999981374","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"16","http://localhost:8080/","2025-1-6","11:58:16","LCP","29.600000000558794","84.5","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"17","http://localhost:8080/","2025-1-6","11:58:21","LCP","27","79.8999999994412","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"18","http://localhost:8080/","2025-1-6","11:58:27","LCP","29.09999999962747","78.3999999994412","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"19","http://localhost:8080/","2025-1-6","11:58:32","LCP","30.09999999962747","77.40000000037253","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"20","http://localhost:8080/","2025-1-6","11:58:38","LCP","35","87.79999999981374","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"21","http://localhost:8080/","2025-1-6","11:58:43","LCP","31.40000000037253","78.6000000005588","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"22","http://localhost:8080/","2025-1-6","11:58:49","LCP","30.40000000037253","82.79999999981374","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"23","http://localhost:8080/","2025-1-6","11:58:54","LCP","27.09999999962747","79.3999999994412","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"24","http://localhost:8080/","2025-1-6","11:59:00","LCP","25.700000000186265","71.8999999994412","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"25","http://localhost:8080/","2025-1-6","11:59:06","LCP","27.699999999254942","80.09999999962747","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"26","http://localhost:8080/","2025-1-6","11:59:11","LCP","26.200000000186265","74.59999999962747","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"27","http://localhost:8080/","2025-1-6","11:59:17","LCP","27","77.20000000018626","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"28","http://localhost:8080/","2025-1-6","11:59:22","LCP","27.09999999962747","77.29999999981374","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"29","http://localhost:8080/","2025-1-6","11:59:28","LCP","27.699999999254942","76.19999999925494","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"30","http://localhost:8080/","2025-1-6","11:59:33","LCP","27.5","77.29999999981374","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"31","http://localhost:8080/","2025-1-6","11:59:39","LCP","27.5","75","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"32","http://localhost:8080/","2025-1-6","11:59:45","LCP","25.699999999254942","76.09999999962747","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"33","http://localhost:8080/","2025-1-6","11:59:50","LCP","25.799999999813735","74.29999999981374","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"34","http://localhost:8080/","2025-1-6","11:59:56","LCP","27.799999999813735","79","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"35","http://localhost:8080/","2025-1-6","12:00:01","LCP","23.299999999813735","71.20000000018626","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"36","http://localhost:8080/","2025-1-6","12:00:07","LCP","25.5","75.79999999981374","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"37","http://localhost:8080/","2025-1-6","12:00:12","LCP","27","76.69999999925494","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"38","http://localhost:8080/","2025-1-6","12:00:18","LCP","25.40000000037253","76.70000000018626","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"39","http://localhost:8080/","2025-1-6","12:00:23","LCP","29.200000000186265","78.5","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"40","http://localhost:8080/","2025-1-6","12:00:29","LCP","23.800000000745058","73","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"41","http://localhost:8080/","2025-1-6","12:00:35","LCP","25.899999999441206","77.3999999994412","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"42","http://localhost:8080/","2025-1-6","12:00:40","LCP","23.799999999813735","68.5","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"43","http://localhost:8080/","2025-1-6","12:00:46","LCP","29.299999999813735","78.5","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"44","http://localhost:8080/","2025-1-6","12:00:51","LCP","24.399999999441206","74.5","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"45","http://localhost:8080/","2025-1-6","12:00:57","LCP","25.40000000037253","78.20000000018626","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"46","http://localhost:8080/","2025-1-6","12:01:02","LCP","25.700000000186265","74.40000000037253","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"47","http://localhost:8080/","2025-1-6","12:01:08","LCP","23.299999999813735","76.29999999981374","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"48","http://localhost:8080/","2025-1-6","12:01:13","LCP","24.299999999813735","78.5","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"49","http://localhost:8080/","2025-1-6","12:01:19","LCP","24","75.79999999981374","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"50","http://localhost:8080/","2025-1-6","12:01:25","LCP","24.90000000037253","77.29999999981374","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"51","http://localhost:8080/","2025-1-6","12:01:30","LCP","25.40000000037253","75.6000000005588","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"52","http://localhost:8080/","2025-1-6","12:01:36","LCP","25.299999999813735","77.59999999962747","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"53","http://localhost:8080/","2025-1-6","12:01:41","LCP","23.700000000186265","74.5","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"54","http://localhost:8080/","2025-1-6","12:01:47","LCP","27.800000000745058","78","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"55","http://localhost:8080/","2025-1-6","12:01:52","LCP","25.899999999441206","76.59999999962747","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"56","http://localhost:8080/","2025-1-6","12:01:58","LCP","25.700000000186265","79","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"57","http://localhost:8080/","2025-1-6","12:02:04","LCP","26.200000000186265","78.90000000037253","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"58","http://localhost:8080/","2025-1-6","12:02:09","LCP","25.59999999962747","78.29999999981374","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"59","http://localhost:8080/","2025-1-6","12:02:15","LCP","27.40000000037253","73.90000000037253","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"60","http://localhost:8080/","2025-1-6","12:02:20","LCP","27.5","78.90000000037253","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"61","http://localhost:8080/","2025-1-6","12:02:26","LCP","28.399999999441206","79.29999999981374","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"62","http://localhost:8080/","2025-1-6","12:02:31","LCP","22.09999999962747","73.09999999962747","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"63","http://localhost:8080/","2025-1-6","12:02:37","LCP","25","75.1000000005588","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"64","http://localhost:8080/","2025-1-6","12:02:43","LCP","24.09999999962747","70.8999999994412","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"65","http://localhost:8080/","2025-1-6","12:02:48","LCP","26.59999999962747","77.29999999981374","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
