idx,site,date,time,type,start,end,duration,name,element,url,id
"1","http://localhost:8080/","2025-1-11","14:19:42","LCP","1330.699999999255","1409","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"1","http://localhost:8080/","2025-1-11","14:19:42","longTask","1183.5999999977648","1330.5999999977648","147","unknown","-1","-1","-1"
"1","http://localhost:8080/","2025-1-11","14:19:42","longTask","5581.699999999255","5852.699999999255","271","self","-1","-1","-1"
"2","http://localhost:8080/","2025-1-11","14:19:53","LCP","1072.300000000745","1126.199999999255","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"2","http://localhost:8080/","2025-1-11","14:19:53","longTask","980.3000000007451","1069.300000000745","89","unknown","-1","-1","-1"
"2","http://localhost:8080/","2025-1-11","14:19:53","longTask","5302.400000002235","5547.400000002235","245","self","-1","-1","-1"
"3","http://localhost:8080/","2025-1-11","14:20:04","LCP","1091.7999999970198","1153","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"3","http://localhost:8080/","2025-1-11","14:20:04","longTask","982.2999999970198","1089.2999999970198","107","unknown","-1","-1","-1"
"3","http://localhost:8080/","2025-1-11","14:20:04","longTask","5310.699999999255","5566.699999999255","256","self","-1","-1","-1"
"4","http://localhost:8080/","2025-1-11","14:20:15","LCP","1066.8999999985099","1124.8999999985099","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"4","http://localhost:8080/","2025-1-11","14:20:15","longTask","972.5","1063.5","91","unknown","-1","-1","-1"
"4","http://localhost:8080/","2025-1-11","14:20:15","longTask","5307.800000000745","5554.800000000745","247","self","-1","-1","-1"
"5","http://localhost:8080/","2025-1-11","14:20:26","LCP","1072.699999999255","1132.699999999255","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"5","http://localhost:8080/","2025-1-11","14:20:26","longTask","971.3999999985099","1072.3999999985099","101","unknown","-1","-1","-1"
"5","http://localhost:8080/","2025-1-11","14:20:26","longTask","5279.10000000149","5524.10000000149","245","self","-1","-1","-1"
"6","http://localhost:8080/","2025-1-11","14:20:37","LCP","1071.9000000022352","1098.199999999255","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"6","http://localhost:8080/","2025-1-11","14:20:37","longTask","972.6000000014901","1069.6000000014901","97","unknown","-1","-1","-1"
"6","http://localhost:8080/","2025-1-11","14:20:37","longTask","5292.800000000745","5479.800000000745","187","self","-1","-1","-1"
"6","http://localhost:8080/","2025-1-11","14:20:37","longTask","5480.199999999255","5544.199999999255","64","self","-1","-1","-1"
"7","http://localhost:8080/","2025-1-11","14:20:49","LCP","1077.699999999255","1131.8999999985099","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"7","http://localhost:8080/","2025-1-11","14:20:49","longTask","977.5","1074.5","97","unknown","-1","-1","-1"
"7","http://localhost:8080/","2025-1-11","14:20:49","longTask","5316.099999997765","5505.099999997765","189","self","-1","-1","-1"
"7","http://localhost:8080/","2025-1-11","14:20:49","longTask","5506","5573","67","self","-1","-1","-1"
"8","http://localhost:8080/","2025-1-11","14:21:00","LCP","1073.4000000022352","1104","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"8","http://localhost:8080/","2025-1-11","14:21:00","longTask","977.8000000007451","1071.800000000745","94","unknown","-1","-1","-1"
"8","http://localhost:8080/","2025-1-11","14:21:00","longTask","5313.900000002235","5501.900000002235","188","self","-1","-1","-1"
"8","http://localhost:8080/","2025-1-11","14:21:00","longTask","5502.60000000149","5571.60000000149","69","self","-1","-1","-1"
"9","http://localhost:8080/","2025-1-11","14:21:11","LCP","1079.1000000014901","1107.9000000022352","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"9","http://localhost:8080/","2025-1-11","14:21:11","longTask","973.2000000029802","1077.2000000029802","104","unknown","-1","-1","-1"
"9","http://localhost:8080/","2025-1-11","14:21:11","longTask","5299.70000000298","5550.70000000298","251","self","-1","-1","-1"
"10","http://localhost:8080/","2025-1-11","14:21:22","LCP","1077.6000000014901","1130.9000000022352","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"10","http://localhost:8080/","2025-1-11","14:21:22","longTask","981.9000000022352","1075.9000000022352","94","unknown","-1","-1","-1"
"10","http://localhost:8080/","2025-1-11","14:21:22","longTask","5317.300000000745","5560.300000000745","243","self","-1","-1","-1"
"11","http://localhost:8080/","2025-1-11","14:21:33","LCP","1079.199999999255","1137.699999999255","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"11","http://localhost:8080/","2025-1-11","14:21:33","longTask","972.3999999985099","1075.3999999985099","103","unknown","-1","-1","-1"
"11","http://localhost:8080/","2025-1-11","14:21:33","longTask","5308.5","5555.5","247","self","-1","-1","-1"
"12","http://localhost:8080/","2025-1-11","14:21:44","LCP","1085.699999999255","1116.300000000745","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"12","http://localhost:8080/","2025-1-11","14:21:44","longTask","978.0999999977648","1083.0999999977648","105","unknown","-1","-1","-1"
"12","http://localhost:8080/","2025-1-11","14:21:44","longTask","5291.199999999255","5481.199999999255","190","self","-1","-1","-1"
"12","http://localhost:8080/","2025-1-11","14:21:44","longTask","5481.300000000745","5551.300000000745","70","self","-1","-1","-1"
"13","http://localhost:8080/","2025-1-11","14:21:55","LCP","1073.5","1126.800000000745","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"13","http://localhost:8080/","2025-1-11","14:21:55","longTask","975.6999999992549","1071.699999999255","96","unknown","-1","-1","-1"
"13","http://localhost:8080/","2025-1-11","14:21:55","longTask","5311.60000000149","5498.60000000149","187","self","-1","-1","-1"
"13","http://localhost:8080/","2025-1-11","14:21:55","longTask","5499.199999999255","5565.199999999255","66","self","-1","-1","-1"
"14","http://localhost:8080/","2025-1-11","14:22:06","LCP","1079.5","1138.1000000014901","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"14","http://localhost:8080/","2025-1-11","14:22:06","longTask","972.3999999985099","1078.3999999985099","106","unknown","-1","-1","-1"
"14","http://localhost:8080/","2025-1-11","14:22:06","longTask","5296.60000000149","5481.60000000149","185","self","-1","-1","-1"
"14","http://localhost:8080/","2025-1-11","14:22:06","longTask","5482.39999999851","5545.39999999851","63","self","-1","-1","-1"
"15","http://localhost:8080/","2025-1-11","14:22:17","LCP","1067","1124.3999999985099","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"15","http://localhost:8080/","2025-1-11","14:22:17","longTask","974","1066","92","unknown","-1","-1","-1"
"15","http://localhost:8080/","2025-1-11","14:22:17","longTask","5309","5555","246","self","-1","-1","-1"
"16","http://localhost:8080/","2025-1-11","14:22:29","LCP","1078.699999999255","1137.3999999985099","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"16","http://localhost:8080/","2025-1-11","14:22:29","longTask","972.5999999977648","1075.5999999977648","103","unknown","-1","-1","-1"
"16","http://localhost:8080/","2025-1-11","14:22:29","longTask","5312.599999997765","5556.599999997765","244","self","-1","-1","-1"
"17","http://localhost:8080/","2025-1-11","14:22:40","LCP","1088.0999999977648","1142.0999999977648","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"17","http://localhost:8080/","2025-1-11","14:22:40","longTask","979.1999999992549","1085.199999999255","106","unknown","-1","-1","-1"
"17","http://localhost:8080/","2025-1-11","14:22:40","longTask","5303.199999999255","5547.199999999255","244","self","-1","-1","-1"
"18","http://localhost:8080/","2025-1-11","14:22:51","LCP","1070.1000000014901","1124.4000000022352","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"18","http://localhost:8080/","2025-1-11","14:22:51","longTask","971.6000000014901","1068.6000000014901","97","unknown","-1","-1","-1"
"18","http://localhost:8080/","2025-1-11","14:22:51","longTask","5307.400000002235","5556.400000002235","249","self","-1","-1","-1"
"19","http://localhost:8080/","2025-1-11","14:23:02","LCP","1067.199999999255","1124.5","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"19","http://localhost:8080/","2025-1-11","14:23:02","longTask","964.8999999985099","1065.8999999985099","101","unknown","-1","-1","-1"
"19","http://localhost:8080/","2025-1-11","14:23:02","longTask","5278.300000000745","5470.300000000745","192","self","-1","-1","-1"
"19","http://localhost:8080/","2025-1-11","14:23:02","longTask","5470.39999999851","5534.39999999851","64","self","-1","-1","-1"
"20","http://localhost:8080/","2025-1-11","14:23:13","LCP","1067.8999999985099","1120.699999999255","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"20","http://localhost:8080/","2025-1-11","14:23:13","longTask","973.1000000014901","1066.1000000014901","93","unknown","-1","-1","-1"
"20","http://localhost:8080/","2025-1-11","14:23:13","longTask","5295.5","5486.5","191","self","-1","-1","-1"
"20","http://localhost:8080/","2025-1-11","14:23:13","longTask","5486.800000000745","5558.800000000745","72","self","-1","-1","-1"
"21","http://localhost:8080/","2025-1-11","14:23:24","LCP","1079.9000000022352","1106.1000000014901","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"21","http://localhost:8080/","2025-1-11","14:23:24","longTask","974","1079","105","unknown","-1","-1","-1"
"21","http://localhost:8080/","2025-1-11","14:23:24","longTask","5281.10000000149","5531.10000000149","250","self","-1","-1","-1"
"22","http://localhost:8080/","2025-1-11","14:23:35","LCP","1078.5999999977648","1133","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"22","http://localhost:8080/","2025-1-11","14:23:35","longTask","972.5999999977648","1076.5999999977648","104","unknown","-1","-1","-1"
"22","http://localhost:8080/","2025-1-11","14:23:35","longTask","5296.599999997765","5546.599999997765","250","self","-1","-1","-1"
"23","http://localhost:8080/","2025-1-11","14:23:46","LCP","1086.1000000014901","1149.7000000029802","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"23","http://localhost:8080/","2025-1-11","14:23:46","longTask","979.6000000014901","1082.6000000014901","103","unknown","-1","-1","-1"
"23","http://localhost:8080/","2025-1-11","14:23:46","longTask","5329.5","5587.5","258","self","-1","-1","-1"
"24","http://localhost:8080/","2025-1-11","14:23:57","LCP","1077.800000000745","1133.5","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"24","http://localhost:8080/","2025-1-11","14:23:57","longTask","974.1999999992549","1077.199999999255","103","unknown","-1","-1","-1"
"24","http://localhost:8080/","2025-1-11","14:23:57","longTask","5298.699999999255","5485.699999999255","187","self","-1","-1","-1"
"24","http://localhost:8080/","2025-1-11","14:23:57","longTask","5486.300000000745","5549.300000000745","63","self","-1","-1","-1"
"25","http://localhost:8080/","2025-1-11","14:24:08","LCP","1058.800000000745","1114.6000000014901","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"25","http://localhost:8080/","2025-1-11","14:24:08","longTask","965.5","1058.5","93","unknown","-1","-1","-1"
"25","http://localhost:8080/","2025-1-11","14:24:08","longTask","5284.400000002235","5472.400000002235","188","self","-1","-1","-1"
"25","http://localhost:8080/","2025-1-11","14:24:08","longTask","5473.20000000298","5540.20000000298","67","self","-1","-1","-1"
"26","http://localhost:8080/","2025-1-11","14:24:20","LCP","1068.699999999255","1128.199999999255","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"26","http://localhost:8080/","2025-1-11","14:24:20","longTask","969.5999999977648","1065.5999999977648","96","unknown","-1","-1","-1"
"26","http://localhost:8080/","2025-1-11","14:24:20","longTask","5290.29999999702","5536.29999999702","246","self","-1","-1","-1"
"27","http://localhost:8080/","2025-1-11","14:24:31","LCP","1073.8999999985099","1104.199999999255","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"27","http://localhost:8080/","2025-1-11","14:24:31","longTask","966.1000000014901","1071.1000000014901","105","unknown","-1","-1","-1"
"27","http://localhost:8080/","2025-1-11","14:24:31","longTask","5288.300000000745","5474.300000000745","186","self","-1","-1","-1"
"27","http://localhost:8080/","2025-1-11","14:24:31","longTask","5474.800000000745","5542.800000000745","68","self","-1","-1","-1"
