idx,site,date,time,type,start,end,duration,name,element,url,id
"1","http://localhost:8080/","2025-1-11","12:23:51","LCP","1163.300000000745","1263.800000000745","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/classics.webp",""
"1","http://localhost:8080/","2025-1-11","12:23:51","longTask","1154.1000000014901","1213.1000000014901","59","unknown","-1","-1","-1"
"1","http://localhost:8080/","2025-1-11","12:23:51","longTask","5295.199999999255","5378.199999999255","83","self","-1","-1","-1"
"2","http://localhost:8080/","2025-1-11","12:24:02","LCP","969.5","1052.699999999255","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/classics.webp",""
"2","http://localhost:8080/","2025-1-11","12:24:02","longTask","5029.400000002235","5099.400000002235","70","self","-1","-1","-1"
"3","http://localhost:8080/","2025-1-11","12:24:12","LCP","1016.3999999985099","1034.199999999255","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"3","http://localhost:8080/","2025-1-11","12:24:12","longTask","5037.89999999851","5109.89999999851","72","self","-1","-1","-1"
"4","http://localhost:8080/","2025-1-11","12:24:23","LCP","1012.6000000014901","1032.199999999255","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"4","http://localhost:8080/","2025-1-11","12:24:23","longTask","5020.300000000745","5112.300000000745","92","self","-1","-1","-1"
"5","http://localhost:8080/","2025-1-11","12:24:34","LCP","1012.9000000022352","1026","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"5","http://localhost:8080/","2025-1-11","12:24:34","longTask","5014","5084","70","self","-1","-1","-1"
"6","http://localhost:8080/","2025-1-11","12:24:44","LCP","1027.800000000745","1043.4000000022352","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"6","http://localhost:8080/","2025-1-11","12:24:44","longTask","5045","5138","93","self","-1","-1","-1"
"7","http://localhost:8080/","2025-1-11","12:24:55","LCP","1015.0999999977648","1030.699999999255","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"7","http://localhost:8080/","2025-1-11","12:24:55","longTask","5028.699999999255","5123.699999999255","95","self","-1","-1","-1"
"8","http://localhost:8080/","2025-1-11","12:25:06","LCP","1020.6999999992549","1041.3999999985099","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"8","http://localhost:8080/","2025-1-11","12:25:06","longTask","5000.10000000149","5071.10000000149","71","self","-1","-1","-1"
"9","http://localhost:8080/","2025-1-11","12:25:16","LCP","1012.8999999985099","1033.0999999977648","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"9","http://localhost:8080/","2025-1-11","12:25:16","longTask","5023","5116","93","self","-1","-1","-1"
"10","http://localhost:8080/","2025-1-11","12:25:27","LCP","1014.3999999985099","1034.5","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"10","http://localhost:8080/","2025-1-11","12:25:27","longTask","5023.10000000149","5094.10000000149","71","self","-1","-1","-1"
"11","http://localhost:8080/","2025-1-11","12:25:38","LCP","1012.1000000014901","1032.800000000745","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"11","http://localhost:8080/","2025-1-11","12:25:38","longTask","5014.60000000149","5107.60000000149","93","self","-1","-1","-1"
"12","http://localhost:8080/","2025-1-11","12:25:48","LCP","1013.3000000007451","1034.6000000014901","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"12","http://localhost:8080/","2025-1-11","12:25:48","longTask","5019.300000000745","5089.300000000745","70","self","-1","-1","-1"
"13","http://localhost:8080/","2025-1-11","12:25:59","LCP","1028.199999999255","1045.800000000745","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"13","http://localhost:8080/","2025-1-11","12:25:59","longTask","5042.10000000149","5135.10000000149","93","self","-1","-1","-1"
"14","http://localhost:8080/","2025-1-11","12:26:10","LCP","1026","1045.800000000745","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"14","http://localhost:8080/","2025-1-11","12:26:10","longTask","5023.39999999851","5116.39999999851","93","self","-1","-1","-1"
"15","http://localhost:8080/","2025-1-11","12:26:20","LCP","1009.1999999992549","1029.4000000022352","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"15","http://localhost:8080/","2025-1-11","12:26:20","longTask","5036.199999999255","5107.199999999255","71","self","-1","-1","-1"
"16","http://localhost:8080/","2025-1-11","12:26:31","LCP","1026.199999999255","1042.6000000014901","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"16","http://localhost:8080/","2025-1-11","12:26:31","longTask","5034.39999999851","5126.39999999851","92","self","-1","-1","-1"
"17","http://localhost:8080/","2025-1-11","12:26:42","LCP","1020.6000000014901","1041.1000000014901","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"17","http://localhost:8080/","2025-1-11","12:26:42","longTask","5037.199999999255","5129.199999999255","92","self","-1","-1","-1"
"18","http://localhost:8080/","2025-1-11","12:26:52","LCP","1012.8999999985099","1034.5999999977648","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"18","http://localhost:8080/","2025-1-11","12:26:52","longTask","5042.89999999851","5113.89999999851","71","self","-1","-1","-1"
"19","http://localhost:8080/","2025-1-11","12:27:03","LCP","1012.3000000007451","1032.199999999255","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"19","http://localhost:8080/","2025-1-11","12:27:03","longTask","5023.099999997765","5116.099999997765","93","self","-1","-1","-1"
"20","http://localhost:8080/","2025-1-11","12:27:14","LCP","1023.6999999992549","1042.0999999977648","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"20","http://localhost:8080/","2025-1-11","12:27:14","longTask","5036.699999999255","5127.699999999255","91","self","-1","-1","-1"
"21","http://localhost:8080/","2025-1-11","12:27:24","LCP","1018.6999999992549","1034.5999999977648","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"21","http://localhost:8080/","2025-1-11","12:27:24","longTask","5016.29999999702","5108.29999999702","92","self","-1","-1","-1"
"22","http://localhost:8080/","2025-1-11","12:27:35","LCP","1026.800000000745","1045.6000000014901","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"22","http://localhost:8080/","2025-1-11","12:27:35","longTask","5029.5","5122.5","93","self","-1","-1","-1"
"23","http://localhost:8080/","2025-1-11","12:27:46","LCP","1014.3000000007451","1039","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"23","http://localhost:8080/","2025-1-11","12:27:46","longTask","5038.599999997765","5130.599999997765","92","self","-1","-1","-1"
"24","http://localhost:8080/","2025-1-11","12:27:56","LCP","1012.3000000007451","1034.199999999255","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"24","http://localhost:8080/","2025-1-11","12:27:56","longTask","5018.10000000149","5110.10000000149","92","self","-1","-1","-1"
