idx,site,date,time,type,start,end,duration,name,element,url,id
"1","http://localhost:8080/","2025-1-3","14:50:41","LCP","1093.699999999255","1219.8999999985099","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/classics.webp",""
"1","http://localhost:8080/","2025-1-3","14:50:41","longTask","1087.699999999255","1187.699999999255","100","unknown","-1","-1","-1"
"1","http://localhost:8080/","2025-1-3","14:50:41","longTask","3660.099999997765","3848.099999997765","188","self","-1","-1","-1"
"1","http://localhost:8080/","2025-1-3","14:50:41","longTask","3947.199999999255","4054.199999999255","107","self","-1","-1","-1"
"2","http://localhost:8080/","2025-1-3","14:50:51","LCP","980","1094.199999999255","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/classics.webp",""
"2","http://localhost:8080/","2025-1-3","14:50:51","longTask","974.1000000014901","1065.1000000014901","91","unknown","-1","-1","-1"
"2","http://localhost:8080/","2025-1-3","14:50:51","longTask","3543.89999999851","3723.89999999851","180","self","-1","-1","-1"
"2","http://localhost:8080/","2025-1-3","14:50:51","longTask","3822.60000000149","3930.60000000149","108","self","-1","-1","-1"
"3","http://localhost:8080/","2025-1-3","14:51:00","LCP","986.6999999992549","1101.2999999970198","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/classics.webp",""
"3","http://localhost:8080/","2025-1-3","14:51:00","longTask","980.5999999977648","1069.5999999977648","89","unknown","-1","-1","-1"
"3","http://localhost:8080/","2025-1-3","14:51:00","longTask","3555.199999999255","3737.199999999255","182","self","-1","-1","-1"
"3","http://localhost:8080/","2025-1-3","14:51:00","longTask","3834.099999997765","3940.099999997765","106","self","-1","-1","-1"
"4","http://localhost:8080/","2025-1-3","14:51:10","LCP","969.6000000014901","1087.6000000014901","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/classics.webp",""
"4","http://localhost:8080/","2025-1-3","14:51:10","longTask","964.3000000007451","1061.300000000745","97","unknown","-1","-1","-1"
"4","http://localhost:8080/","2025-1-3","14:51:10","longTask","3547.300000000745","3726.300000000745","179","self","-1","-1","-1"
"4","http://localhost:8080/","2025-1-3","14:51:10","longTask","3824.10000000149","3931.10000000149","107","self","-1","-1","-1"
"5","http://localhost:8080/","2025-1-3","14:51:19","LCP","972.9000000022352","1090.6000000014901","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/classics.webp",""
"5","http://localhost:8080/","2025-1-3","14:51:19","longTask","966.9000000022352","1059.9000000022352","93","unknown","-1","-1","-1"
"5","http://localhost:8080/","2025-1-3","14:51:19","longTask","3552.7000000029802","3731.7000000029802","179","self","-1","-1","-1"
"5","http://localhost:8080/","2025-1-3","14:51:19","longTask","3831","3933","102","self","-1","-1","-1"
"6","http://localhost:8080/","2025-1-3","14:51:29","LCP","986.1000000014901","1100.300000000745","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/classics.webp",""
"6","http://localhost:8080/","2025-1-3","14:51:29","longTask","980.1999999992549","1071.199999999255","91","unknown","-1","-1","-1"
"6","http://localhost:8080/","2025-1-3","14:51:29","longTask","3558.800000000745","3740.800000000745","182","self","-1","-1","-1"
"6","http://localhost:8080/","2025-1-3","14:51:29","longTask","3838.699999999255","3948.699999999255","110","self","-1","-1","-1"
"7","http://localhost:8080/","2025-1-3","14:51:38","LCP","978.1999999992549","1087.3999999985099","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/classics.webp",""
"7","http://localhost:8080/","2025-1-3","14:51:38","longTask","972.1999999992549","1062.199999999255","90","unknown","-1","-1","-1"
"7","http://localhost:8080/","2025-1-3","14:51:38","longTask","3558.89999999851","3741.89999999851","183","self","-1","-1","-1"
"7","http://localhost:8080/","2025-1-3","14:51:38","longTask","3839.60000000149","3946.60000000149","107","self","-1","-1","-1"
"8","http://localhost:8080/","2025-1-3","14:51:47","LCP","987","1100.699999999255","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/classics.webp",""
"8","http://localhost:8080/","2025-1-3","14:51:47","longTask","981","1074","93","unknown","-1","-1","-1"
"8","http://localhost:8080/","2025-1-3","14:51:47","longTask","3560.699999999255","3740.699999999255","180","self","-1","-1","-1"
"8","http://localhost:8080/","2025-1-3","14:51:47","longTask","3837.900000002235","3944.900000002235","107","self","-1","-1","-1"
"9","http://localhost:8080/","2025-1-3","14:51:57","LCP","985.8999999985099","1101","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/classics.webp",""
"9","http://localhost:8080/","2025-1-3","14:51:57","longTask","979.6999999992549","1073.699999999255","94","unknown","-1","-1","-1"
"9","http://localhost:8080/","2025-1-3","14:51:57","longTask","3570.89999999851","3748.89999999851","178","self","-1","-1","-1"
"9","http://localhost:8080/","2025-1-3","14:51:57","longTask","3848.10000000149","3957.10000000149","109","self","-1","-1","-1"
"10","http://localhost:8080/","2025-1-3","14:52:06","LCP","974","1091.5999999977648","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/classics.webp",""
"10","http://localhost:8080/","2025-1-3","14:52:06","longTask","968.1999999992549","1059.199999999255","91","unknown","-1","-1","-1"
"10","http://localhost:8080/","2025-1-3","14:52:06","longTask","3551","3730","179","self","-1","-1","-1"
"10","http://localhost:8080/","2025-1-3","14:52:06","longTask","3825.2999999970198","3933.2999999970198","108","self","-1","-1","-1"
"11","http://localhost:8080/","2025-1-3","14:52:16","LCP","972.7000000029802","1086.5","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/classics.webp",""
"11","http://localhost:8080/","2025-1-3","14:52:16","longTask","967.5","1059.5","92","unknown","-1","-1","-1"
"11","http://localhost:8080/","2025-1-3","14:52:16","longTask","3549.2000000029802","3731.2000000029802","182","self","-1","-1","-1"
"11","http://localhost:8080/","2025-1-3","14:52:16","longTask","3828.400000002235","3934.400000002235","106","self","-1","-1","-1"
"12","http://localhost:8080/","2025-1-3","14:52:25","LCP","982.6000000014901","1099.6000000014901","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/classics.webp",""
"12","http://localhost:8080/","2025-1-3","14:52:25","longTask","976.7000000029802","1070.7000000029802","94","unknown","-1","-1","-1"
"12","http://localhost:8080/","2025-1-3","14:52:25","longTask","3557.800000000745","3735.800000000745","178","self","-1","-1","-1"
"12","http://localhost:8080/","2025-1-3","14:52:25","longTask","3833","3939","106","self","-1","-1","-1"
"13","http://localhost:8080/","2025-1-3","14:52:35","LCP","978.6999999992549","1094.0999999977648","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/classics.webp",""
"13","http://localhost:8080/","2025-1-3","14:52:35","longTask","972.6999999992549","1066.699999999255","94","unknown","-1","-1","-1"
"13","http://localhost:8080/","2025-1-3","14:52:35","longTask","3574.89999999851","3753.89999999851","179","self","-1","-1","-1"
"13","http://localhost:8080/","2025-1-3","14:52:35","longTask","3852.2999999970198","3957.2999999970198","105","self","-1","-1","-1"
"14","http://localhost:8080/","2025-1-3","14:52:44","LCP","985.3999999985099","1101.699999999255","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/classics.webp",""
"14","http://localhost:8080/","2025-1-3","14:52:44","longTask","980.7999999970198","1074.7999999970198","94","unknown","-1","-1","-1"
"14","http://localhost:8080/","2025-1-3","14:52:44","longTask","3562.5","3737.5","175","self","-1","-1","-1"
"14","http://localhost:8080/","2025-1-3","14:52:44","longTask","3837.39999999851","3943.39999999851","106","self","-1","-1","-1"
"15","http://localhost:8080/","2025-1-3","14:52:54","LCP","970.3999999985099","1086.5","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/classics.webp",""
"15","http://localhost:8080/","2025-1-3","14:52:54","longTask","963.8999999985099","1057.8999999985099","94","unknown","-1","-1","-1"
"15","http://localhost:8080/","2025-1-3","14:52:54","longTask","3551.39999999851","3732.39999999851","181","self","-1","-1","-1"
"15","http://localhost:8080/","2025-1-3","14:52:54","longTask","3829.199999999255","3943.199999999255","114","self","-1","-1","-1"
"16","http://localhost:8080/","2025-1-3","14:53:03","LCP","979.3999999985099","1091.699999999255","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/classics.webp",""
"16","http://localhost:8080/","2025-1-3","14:53:03","longTask","973.2999999970198","1068.2999999970198","95","unknown","-1","-1","-1"
"16","http://localhost:8080/","2025-1-3","14:53:03","longTask","3573.39999999851","3749.39999999851","176","self","-1","-1","-1"
"16","http://localhost:8080/","2025-1-3","14:53:03","longTask","3848.89999999851","3954.89999999851","106","self","-1","-1","-1"
"17","http://localhost:8080/","2025-1-3","14:53:13","LCP","972.3999999985099","1086.300000000745","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/classics.webp",""
"17","http://localhost:8080/","2025-1-3","14:53:13","longTask","965.6000000014901","1057.6000000014901","92","unknown","-1","-1","-1"
