idx,site,date,time,type,start,end,duration,name,element,url,id
"1","http://localhost:8080/","2025-1-3","13:15:47","LCP","954.8999999985099","1021.8999999985099","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/classics.webp",""
"1","http://localhost:8080/","2025-1-3","13:15:47","longTask","3384.300000000745","3453.300000000745","69","self","-1","-1","-1"
"2","http://localhost:8080/","2025-1-3","13:15:56","LCP","969.3999999985099","1034.699999999255","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/classics.webp",""
"2","http://localhost:8080/","2025-1-3","13:15:56","longTask","3409.7999999970198","3479.7999999970198","70","self","-1","-1","-1"
"3","http://localhost:8080/","2025-1-3","13:16:05","LCP","963.1999999992549","1021.1999999992549","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/classics.webp",""
"3","http://localhost:8080/","2025-1-3","13:16:05","longTask","3401.2999999970198","3471.2999999970198","70","self","-1","-1","-1"
"4","http://localhost:8080/","2025-1-3","13:16:14","LCP","962.8000000007451","1029.5","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/classics.webp",""
"4","http://localhost:8080/","2025-1-3","13:16:14","longTask","3400.60000000149","3470.60000000149","70","self","-1","-1","-1"
"5","http://localhost:8080/","2025-1-3","13:16:23","LCP","955.4000000022352","1018.1999999992549","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/classics.webp",""
"5","http://localhost:8080/","2025-1-3","13:16:23","longTask","3396.300000000745","3464.300000000745","68","self","-1","-1","-1"
"6","http://localhost:8080/","2025-1-3","13:16:32","LCP","942.0999999977648","1007.0999999977648","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/classics.webp",""
"6","http://localhost:8080/","2025-1-3","13:16:32","longTask","3364.5","3431.5","67","self","-1","-1","-1"
"7","http://localhost:8080/","2025-1-3","13:16:40","LCP","948.1999999992549","1008.3000000007451","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/classics.webp",""
"7","http://localhost:8080/","2025-1-3","13:16:40","longTask","3379.199999999255","3447.199999999255","68","self","-1","-1","-1"
"8","http://localhost:8080/","2025-1-3","13:16:49","LCP","947.6999999992549","1006.8000000007451","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/classics.webp",""
"8","http://localhost:8080/","2025-1-3","13:16:49","longTask","3378.60000000149","3447.60000000149","69","self","-1","-1","-1"
"9","http://localhost:8080/","2025-1-3","13:16:58","LCP","963.4000000022352","1025","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/classics.webp",""
"9","http://localhost:8080/","2025-1-3","13:16:58","longTask","3392.5","3461.5","69","self","-1","-1","-1"
"10","http://localhost:8080/","2025-1-3","13:17:07","LCP","961.3000000007451","1022.1000000014901","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/classics.webp",""
"10","http://localhost:8080/","2025-1-3","13:17:07","longTask","3383.400000002235","3451.400000002235","68","self","-1","-1","-1"
"11","http://localhost:8080/","2025-1-3","13:17:16","LCP","963.0999999977648","1024.2999999970198","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/classics.webp",""
"11","http://localhost:8080/","2025-1-3","13:17:16","longTask","3395.39999999851","3464.39999999851","69","self","-1","-1","-1"
"12","http://localhost:8080/","2025-1-3","13:17:25","LCP","956.1000000014901","1014","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/classics.webp",""
"12","http://localhost:8080/","2025-1-3","13:17:25","longTask","3387.60000000149","3456.60000000149","69","self","-1","-1","-1"
"13","http://localhost:8080/","2025-1-3","13:17:34","LCP","947.8000000007451","1007.5999999977648","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/classics.webp",""
"13","http://localhost:8080/","2025-1-3","13:17:34","longTask","3385.699999999255","3452.699999999255","67","self","-1","-1","-1"
"14","http://localhost:8080/","2025-1-3","13:17:43","LCP","948.6000000014901","1010.1000000014901","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/classics.webp",""
"14","http://localhost:8080/","2025-1-3","13:17:43","longTask","3385.699999999255","3453.699999999255","68","self","-1","-1","-1"
"15","http://localhost:8080/","2025-1-3","13:17:52","LCP","962.5999999977648","1025.699999999255","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/classics.webp",""
"15","http://localhost:8080/","2025-1-3","13:17:52","longTask","3403.199999999255","3472.199999999255","69","self","-1","-1","-1"
"16","http://localhost:8080/","2025-1-3","13:18:01","LCP","948.6999999992549","1010.1999999992549","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/classics.webp",""
"16","http://localhost:8080/","2025-1-3","13:18:01","longTask","3388.800000000745","3457.800000000745","69","self","-1","-1","-1"
"17","http://localhost:8080/","2025-1-3","13:18:10","LCP","949.1000000014901","1015.8000000007451","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/classics.webp",""
"17","http://localhost:8080/","2025-1-3","13:18:10","longTask","3392","3459","67","self","-1","-1","-1"
"18","http://localhost:8080/","2025-1-3","13:18:19","LCP","956.5","1017.1999999992549","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/classics.webp",""
"18","http://localhost:8080/","2025-1-3","13:18:19","longTask","3393.5","3465.5","72","self","-1","-1","-1"
"19","http://localhost:8080/","2025-1-3","13:18:28","LCP","956.1999999992549","1019.5999999977648","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/classics.webp",""
"19","http://localhost:8080/","2025-1-3","13:18:28","longTask","3388.099999997765","3456.099999997765","68","self","-1","-1","-1"
"20","http://localhost:8080/","2025-1-3","13:18:37","LCP","955.6000000014901","1023.2000000029802","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/classics.webp",""
"20","http://localhost:8080/","2025-1-3","13:18:37","longTask","3385.2000000029802","3454.2000000029802","69","self","-1","-1","-1"
"21","http://localhost:8080/","2025-1-3","13:18:46","LCP","948.1999999992549","1010.1999999992549","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/classics.webp",""
"21","http://localhost:8080/","2025-1-3","13:18:46","longTask","3378.199999999255","3448.199999999255","70","self","-1","-1","-1"
"22","http://localhost:8080/","2025-1-3","13:18:55","LCP","962.4000000022352","1022.7000000029802","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/classics.webp",""
"22","http://localhost:8080/","2025-1-3","13:18:55","longTask","3400.400000002235","3467.400000002235","67","self","-1","-1","-1"
