idx,site,date,time,type,start,end,duration,name,element,url,id
"1","http://localhost:8080/home/","2025-1-8","18:54:21","LCP","1107.1999999955297","1124.0999999940395","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"1","http://localhost:8080/home/","2025-1-8","18:54:21","longTask","337.5","496.5","159","unknown","-1","-1","-1"
"1","http://localhost:8080/home/","2025-1-8","18:54:21","longTask","1597.2999999970198","1796.2999999970198","199","self","-1","-1","-1"
"1","http://localhost:8080/home/","2025-1-8","18:54:21","longTask","6045.29999999702","6155.29999999702","110","self","-1","-1","-1"
"2","http://localhost:8080/home/","2025-1-8","18:54:32","LCP","1086.2000000029802","1102.2000000029802","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"2","http://localhost:8080/home/","2025-1-8","18:54:32","longTask","235.80000000447035","320.80000000447035","85","unknown","-1","-1","-1"
"2","http://localhost:8080/home/","2025-1-8","18:54:32","longTask","1520.3000000044703","1686.3000000044703","166","self","-1","-1","-1"
"2","http://localhost:8080/home/","2025-1-8","18:54:32","longTask","5896.5","6003.5","107","self","-1","-1","-1"
"3","http://localhost:8080/home/","2025-1-8","18:54:44","LCP","1058.7999999970198","1072.2999999970198","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"3","http://localhost:8080/home/","2025-1-8","18:54:44","longTask","229.69999999552965","322.69999999552965","93","unknown","-1","-1","-1"
"3","http://localhost:8080/home/","2025-1-8","18:54:44","longTask","1526.5999999940395","1692.5999999940395","166","self","-1","-1","-1"
"3","http://localhost:8080/home/","2025-1-8","18:54:44","longTask","5903","6009","106","self","-1","-1","-1"
"4","http://localhost:8080/home/","2025-1-8","18:54:56","LCP","977.6999999955297","997.6999999955297","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
