idx,site,date,time,type,start,end,duration,name,element,url,id
"1","http://localhost:8080/home/","2025-1-8","12:52:12","LCP","1125.0999999977648","1145.699999999255","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"1","http://localhost:8080/home/","2025-1-8","12:52:12","longTask","1642.800000000745","1714.800000000745","72","self","-1","-1","-1"
"2","http://localhost:8080/home/","2025-1-8","12:52:20","LCP","1028","1045.699999999255","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"2","http://localhost:8080/home/","2025-1-8","12:52:20","longTask","1501.3999999985099","1567.3999999985099","66","self","-1","-1","-1"
"3","http://localhost:8080/home/","2025-1-8","12:52:27","LCP","1027.300000000745","1041.300000000745","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"3","http://localhost:8080/home/","2025-1-8","12:52:27","longTask","1502.3999999985099","1567.3999999985099","65","self","-1","-1","-1"
"4","http://localhost:8080/home/","2025-1-8","12:52:34","LCP","1020.8999999985099","1038","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"4","http://localhost:8080/home/","2025-1-8","12:52:34","longTask","1500.6000000014901","1565.6000000014901","65","self","-1","-1","-1"
"5","http://localhost:8080/home/","2025-1-8","12:52:41","LCP","1013","1031.1000000014901","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"5","http://localhost:8080/home/","2025-1-8","12:52:41","longTask","1494.7000000029802","1559.7000000029802","65","self","-1","-1","-1"
"6","http://localhost:8080/home/","2025-1-8","12:52:48","LCP","1020.3999999985099","1032.699999999255","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"6","http://localhost:8080/home/","2025-1-8","12:52:48","longTask","1494.199999999255","1559.199999999255","65","self","-1","-1","-1"
"7","http://localhost:8080/home/","2025-1-8","12:52:55","LCP","1026.5","1042.5","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"7","http://localhost:8080/home/","2025-1-8","12:52:55","longTask","1500.5999999977648","1565.5999999977648","65","self","-1","-1","-1"
"8","http://localhost:8080/home/","2025-1-8","12:53:02","LCP","1019.6999999992549","1039.3999999985099","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"8","http://localhost:8080/home/","2025-1-8","12:53:02","longTask","1494.0999999977648","1558.0999999977648","64","self","-1","-1","-1"
"9","http://localhost:8080/home/","2025-1-8","12:53:09","LCP","1026.699999999255","1040.3999999985099","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"9","http://localhost:8080/home/","2025-1-8","12:53:09","longTask","1501.199999999255","1567.199999999255","66","self","-1","-1","-1"
"10","http://localhost:8080/home/","2025-1-8","12:53:16","LCP","1012.4000000022352","1028.4000000022352","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"10","http://localhost:8080/home/","2025-1-8","12:53:16","longTask","1494.800000000745","1561.800000000745","67","self","-1","-1","-1"
"11","http://localhost:8080/home/","2025-1-8","12:53:23","LCP","1026.8999999985099","1041.300000000745","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"11","http://localhost:8080/home/","2025-1-8","12:53:23","longTask","1501.3999999985099","1566.3999999985099","65","self","-1","-1","-1"
"12","http://localhost:8080/home/","2025-1-8","12:53:30","LCP","999.3000000007451","1013.0999999977648","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"12","http://localhost:8080/home/","2025-1-8","12:53:30","longTask","1494.699999999255","1560.699999999255","66","self","-1","-1","-1"
"13","http://localhost:8080/home/","2025-1-8","12:53:37","LCP","1020","1035.699999999255","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"13","http://localhost:8080/home/","2025-1-8","12:53:37","longTask","1493.1000000014901","1558.1000000014901","65","self","-1","-1","-1"
"14","http://localhost:8080/home/","2025-1-8","12:53:45","LCP","1012.7000000029802","1027.4000000022352","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"14","http://localhost:8080/home/","2025-1-8","12:53:45","longTask","1494.7000000029802","1559.7000000029802","65","self","-1","-1","-1"
"15","http://localhost:8080/home/","2025-1-8","12:53:52","LCP","1028.0999999977648","1045.0999999977648","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"15","http://localhost:8080/home/","2025-1-8","12:53:52","longTask","1501.8999999985099","1565.8999999985099","64","self","-1","-1","-1"
"16","http://localhost:8080/home/","2025-1-8","12:53:59","LCP","1020","1039.3999999985099","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"16","http://localhost:8080/home/","2025-1-8","12:53:59","longTask","1493.3999999985099","1559.3999999985099","66","self","-1","-1","-1"
"17","http://localhost:8080/home/","2025-1-8","12:54:06","LCP","1027.300000000745","1039.3999999985099","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"17","http://localhost:8080/home/","2025-1-8","12:54:06","longTask","1500.5","1565.5","65","self","-1","-1","-1"
"18","http://localhost:8080/home/","2025-1-8","12:54:13","LCP","1020.9000000022352","1036.9000000022352","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"18","http://localhost:8080/home/","2025-1-8","12:54:13","longTask","1493.2000000029802","1558.2000000029802","65","self","-1","-1","-1"
"19","http://localhost:8080/home/","2025-1-8","12:54:20","LCP","1013.3999999985099","1029.8999999985099","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"19","http://localhost:8080/home/","2025-1-8","12:54:20","longTask","1501.800000000745","1566.800000000745","65","self","-1","-1","-1"
"20","http://localhost:8080/home/","2025-1-8","12:54:27","LCP","1026.5","1041.5","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"20","http://localhost:8080/home/","2025-1-8","12:54:27","longTask","1500.6000000014901","1567.6000000014901","67","self","-1","-1","-1"
"21","http://localhost:8080/home/","2025-1-8","12:54:34","LCP","1026.5999999977648","1042.7999999970198","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"21","http://localhost:8080/home/","2025-1-8","12:54:34","longTask","1502.199999999255","1567.199999999255","65","self","-1","-1","-1"
"22","http://localhost:8080/home/","2025-1-8","12:54:41","LCP","1026.8999999985099","1041.699999999255","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"22","http://localhost:8080/home/","2025-1-8","12:54:41","longTask","1501.2999999970198","1567.2999999970198","66","self","-1","-1","-1"
"23","http://localhost:8080/home/","2025-1-8","12:54:48","LCP","1027.1000000014901","1047.300000000745","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"23","http://localhost:8080/home/","2025-1-8","12:54:48","longTask","1500.300000000745","1566.300000000745","66","self","-1","-1","-1"
"24","http://localhost:8080/home/","2025-1-8","12:54:55","LCP","1026.5999999977648","1046.300000000745","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
"24","http://localhost:8080/home/","2025-1-8","12:54:55","longTask","1501.300000000745","1567.300000000745","66","self","-1","-1","-1"
"25","http://localhost:8080/home/","2025-1-8","12:55:03","LCP","1019.6000000014901","1035.6000000014901","0","-1","ref: <Node>","http://docker.for.mac.localhost:4000/img/scene/500/autonomous.webp",""
