idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,nf:init,nf:config,nf:loaded,error
"1","http://localhost:8080/","2025-1-9","16:05:51","176","5768","6510.300000000745","1110.300000000745","168.59999999776483","208","5703","2","258","1392.199999999255","1780.300000000745","5750.099999997765",""
"2","http://localhost:8080/","2025-1-9","16:06:02","182","5625","6376","1059.3999999985099","176.5","184","5578.39999999851","2","234","1305.3999999985099","1676.699999999255","5607.599999997765",""
"3","http://localhost:8080/","2025-1-9","16:06:13","175","5649","6409.800000000745","1043.1000000014901","172.20000000298023","188","5598.400000002235","2","238","1308","1686.9000000022352","5633",""
"4","http://localhost:8080/","2025-1-9","16:06:24","181","5635","6379","1062.3999999985099","176.69999999925494","187","5583.199999999255","2","237","1308.6000000014901","1692.199999999255","5619.10000000149",""
"5","http://localhost:8080/","2025-1-9","16:06:36","173","5616","6358.800000000745","1042","171","186","5569.89999999851","2","236","1297.0999999977648","1679.3999999985099","5599.800000000745",""
"6","http://localhost:8080/","2025-1-9","16:06:47","179","5629","6378.29999999702","1061.699999999255","175","186","5585.599999997765","2","236","1324.199999999255","1697.5","5614.099999997765",""
"7","http://localhost:8080/","2025-1-9","16:06:58","173","5649","6389.89999999851","1056.699999999255","170.30000000074506","187","5604.10000000149","2","237","1313.1000000014901","1702.300000000745","5634.5",""
"8","http://localhost:8080/","2025-1-9","16:07:09","174","5599","6354.300000000745","1037.5","171.5","185","5556.300000000745","2","235","1295.9000000022352","1673.6000000014901","5585.800000000745",""
"9","http://localhost:8080/","2025-1-9","16:07:20","174","5629","6393.79999999702","1060.3999999985099","170.39999999850988","182","5575.099999997765","2","232","1309.0999999977648","1687.3999999985099","5613.79999999702",""
"10","http://localhost:8080/","2025-1-9","16:07:32","173","5629","6373.199999999255","1056.5999999977648","169.29999999701977","182","5584.39999999851","2","232","1310.3999999985099","1690.8999999985099","5613.29999999702",""
"11","http://localhost:8080/","2025-1-9","16:07:43","181","5646","6430","1063.300000000745","174.80000000074506","187","5601","2","237","1323.4000000022352","1697.699999999255","5633.60000000149",""
"12","http://localhost:8080/","2025-1-9","16:07:54","173","5636","6374.199999999255","1057.3999999985099","170","190","5588.599999997765","2","240","1303.0999999977648","1686","5618.5",""
"13","http://localhost:8080/","2025-1-9","16:08:05","172","5630","6387","1036.8999999985099","170.39999999850988","190","5582.89999999851","2","240","1295.699999999255","1677.3999999985099","5618.300000000745",""
"14","http://localhost:8080/","2025-1-9","16:08:16","182","5629","6377","1043.6000000014901","177","185","5586.5","2","235","1302.800000000745","1686.9000000022352","5615.400000002235",""
"15","http://localhost:8080/","2025-1-9","16:08:28","176","5631","6394.10000000149","1044.1000000014901","173.10000000149012","191","5578.60000000149","2","241","1299.6000000014901","1682.7000000029802","5615.60000000149",""
"16","http://localhost:8080/","2025-1-9","16:08:39","173","5652","6403.89999999851","1070.5999999977648","171.19999999925494","184","5610.300000000745","2","234","1327","1709.800000000745","5640.699999999255",""
"17","http://localhost:8080/","2025-1-9","16:08:50","180","5673","6426.699999999255","1076.800000000745","176.39999999850988","190","5621.800000000745","2","240","1325","1707.699999999255","5658.10000000149",""
"18","http://localhost:8080/","2025-1-9","16:09:01","172","5612","6341","1057.6000000014901","169.5","185","5565.900000002235","2","235","1303","1686.300000000745","5596.60000000149",""
