idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,nf:init,nf:config,nf:loaded,error
"1","http://localhost:8080/","2025-1-9","12:20:14","174","5236","6014.699999999255","998","173.69999999925494","64","5211","1","114","1203.3999999985099","1579.0999999977648","5228.099999997765",""
"2","http://localhost:8080/","2025-1-9","12:20:24","171","5143","5921.20000000298","971.2000000029802","175.60000000149012","39","5126.300000000745","1","89","1165.300000000745","1537","5138.60000000149",""
"3","http://localhost:8080/","2025-1-9","12:20:35","164","5142","5894.5","952.8999999985099","170.19999999925494","39","5125.099999997765","1","89","1168.0999999977648","1538.800000000745","5136.199999999255",""
"4","http://localhost:8080/","2025-1-9","12:20:46","172","5146","5898","956.3000000007451","176.69999999925494","38","5127.300000000745","1","88","1173.800000000745","1544","5139.099999997765",""
"5","http://localhost:8080/","2025-1-9","12:20:56","171","5152","5895.300000000745","961.8999999985099","176.60000000149012","39","5133.5","1","89","1180.1000000014901","1551.699999999255","5145.39999999851",""
"6","http://localhost:8080/","2025-1-9","12:21:07","171","5151","5903.900000002235","962.2000000029802","176.40000000223517","39","5134.800000000745","1","89","1173.300000000745","1552.2000000029802","5146",""
"7","http://localhost:8080/","2025-1-9","12:21:18","163","5152","5906.5","960.6999999992549","169.19999999925494","41","5134.599999997765","1","91","1173.2999999970198","1545.3999999985099","5145.89999999851",""
"8","http://localhost:8080/","2025-1-9","12:21:28","171","5153","5901.89999999851","953.5999999977648","175.80000000074506","39","5134.800000000745","1","89","1167.199999999255","1544.800000000745","5146",""
"9","http://localhost:8080/","2025-1-9","12:21:39","172","5149","5892.800000000745","959.6000000014901","176.5","40","5128.900000002235","1","90","1173.699999999255","1545.6000000014901","5141.10000000149",""
"10","http://localhost:8080/","2025-1-9","12:21:50","163","5130","5872.70000000298","956","168.90000000223517","39","5114.10000000149","1","89","1165.300000000745","1530.2000000029802","5125.400000002235",""
"11","http://localhost:8080/","2025-1-9","12:22:00","165","5147","5898.39999999851","960.8999999985099","170.39999999850988","40","5129.60000000149","1","90","1167","1538.300000000745","5140.89999999851",""
"12","http://localhost:8080/","2025-1-9","12:22:11","163","5150","5906.599999997765","956.5999999977648","169.09999999776483","38","5131.599999997765","1","88","1172.800000000745","1544.0999999977648","5143.39999999851",""
"13","http://localhost:8080/","2025-1-9","12:22:22","164","5159","5924.39999999851","961.8000000007451","169.39999999850988","42","5140.5","1","92","1174.3999999985099","1546","5151.300000000745",""
"14","http://localhost:8080/","2025-1-9","12:22:32","170","5137","5876.20000000298","955.4000000022352","175","40","5118","1","90","1163.1000000014901","1536.6000000014901","5129.400000002235",""
"15","http://localhost:8080/","2025-1-9","12:22:43","170","5153","5905.10000000149","963.4000000022352","175.60000000149012","40","5135","1","90","1180.300000000745","1551.4000000022352","5146.300000000745",""
"16","http://localhost:8080/","2025-1-9","12:22:54","163","5155","5901.800000000745","964.3000000007451","168.09999999776483","41","5137","1","91","1172.0999999977648","1544.3999999985099","5148.599999997765",""
"17","http://localhost:8080/","2025-1-9","12:23:04","171","5142","5892.89999999851","959.6999999992549","176.89999999850988","39","5126.300000000745","1","89","1173.5999999977648","1545.300000000745","5137.099999997765",""
"18","http://localhost:8080/","2025-1-9","12:23:15","171","5136","5882.800000000745","957.8000000007451","175.80000000074506","39","5117.89999999851","1","89","1165.8999999985099","1537.699999999255","5129.89999999851",""
"19","http://localhost:8080/","2025-1-9","12:23:26","171","5160","5908.300000000745","966.5999999977648","176.39999999850988","39","5141.199999999255","1","89","1180.800000000745","1552.699999999255","5153.099999997765",""
"20","http://localhost:8080/","2025-1-9","12:23:36","171","5143","5896.599999997765","955","176.29999999701977","40","5126.599999997765","1","90","1172.8999999985099","1544.7999999970198","5138.099999997765",""
"21","http://localhost:8080/","2025-1-9","12:23:47","171","5138","5886.800000000745","953.5","176.80000000074506","40","5122.5","1","90","1165.1000000014901","1537","5133",""
"22","http://localhost:8080/","2025-1-9","12:23:58","172","5146","5895.5","966.3000000007451","175.89999999850988","39","5126.699999999255","1","89","1180.300000000745","1543.800000000745","5138",""
"23","http://localhost:8080/","2025-1-9","12:24:08","171","5141","5895.60000000149","962.3000000007451","175.40000000223517","39","5125.10000000149","1","89","1172.199999999255","1537.300000000745","5136.699999999255",""
"24","http://localhost:8080/","2025-1-9","12:24:19","171","5142","5887.300000000745","954","176.10000000149012","38","5125.699999999255","1","88","1165.199999999255","1543.5","5136.89999999851",""
"25","http://localhost:8080/","2025-1-9","12:24:30","170","5151","5904.300000000745","958.4000000022352","175.40000000223517","40","5133.199999999255","1","90","1166.199999999255","1544.6000000014901","5144.699999999255",""
"26","http://localhost:8080/","2025-1-9","12:24:40","163","5131","5885.400000002235","952.7000000029802","169.40000000223517","38","5111.800000000745","1","88","1164.7000000029802","1530.5","5124.10000000149",""
"27","http://localhost:8080/","2025-1-9","12:24:51","170","5151","5897.599999997765","959.6999999992549","176","40","5135","1","90","1173.3999999985099","1537.5","5145.699999999255",""
"28","http://localhost:8080/","2025-1-9","12:25:02","170","5161","5900.300000000745","958.7000000029802","175.10000000149012","40","5142.400000002235","1","90","1166.300000000745","1544.4000000022352","5153.800000000745",""
"29","http://localhost:8080/","2025-1-9","12:25:12","172","5159","5908.5","958.5","176.30000000074506","38","5141.10000000149","1","88","1171.300000000745","1544.4000000022352","5152.199999999255",""
"30","http://localhost:8080/","2025-1-9","12:25:23","163","5143","5884.89999999851","956.5","168.69999999925494","39","5125.29999999702","1","89","1172.0999999977648","1544.3999999985099","5137.79999999702",""
"31","http://localhost:8080/","2025-1-9","12:25:34","172","5183","5924.5","966.1999999992549","175.59999999776483","39","5164.199999999255","1","89","1180.699999999255","1567.699999999255","5176.5",""
"32","http://localhost:8080/","2025-1-9","12:25:44","179","5197","5948.699999999255","982.0999999977648","183.5","39","5179.5","1","89","1196.5","1580.800000000745","5191.199999999255",""
"33","http://localhost:8080/","2025-1-9","12:25:55","170","5186","5938.79999999702","963.8999999985099","175.39999999850988","39","5169.39999999851","1","89","1180.199999999255","1560.0999999977648","5181",""
"34","http://localhost:8080/","2025-1-9","12:26:06","170","5187","5938","963","175.59999999776483","38","5168.199999999255","1","88","1181.5999999977648","1573.699999999255","5179.89999999851",""
"35","http://localhost:8080/","2025-1-9","12:26:17","171","5172","5920.5","970.5","176.10000000149012","40","5155.900000002235","1","90","1180.9000000022352","1567.9000000022352","5167",""
"36","http://localhost:8080/","2025-1-9","12:26:27","170","5192","5949","965.6999999992549","175.60000000149012","39","5174.900000002235","1","89","1180","1566.300000000745","5186.199999999255",""
"37","http://localhost:8080/","2025-1-9","12:26:38","170","5171","5926.70000000298","968.3000000007451","175.40000000223517","38","5154","1","88","1173.800000000745","1559","5165.70000000298",""
"38","http://localhost:8080/","2025-1-9","12:26:49","170","5190","5942.400000002235","975.7000000029802","176.40000000223517","38","5172.300000000745","1","88","1190.1000000014901","1573.5","5183.800000000745",""
"39","http://localhost:8080/","2025-1-9","12:26:59","170","5193","5961.800000000745","978.4000000022352","175.5","40","5171.199999999255","1","90","1189.4000000022352","1580.9000000022352","5184.800000000745",""
"40","http://localhost:8080/","2025-1-9","12:27:10","170","5176","5931.800000000745","965.0999999977648","175.39999999850988","42","5157.099999997765","1","92","1179.5","1558.8999999985099","5169.699999999255",""
"41","http://localhost:8080/","2025-1-9","12:27:21","170","5209","5954.89999999851","980","175.89999999850988","40","5191","1","90","1194.1000000014901","1581.8999999985099","5202.199999999255",""
"42","http://localhost:8080/","2025-1-9","12:27:31","179","5197","5960.39999999851","981.8000000007451","182.89999999850988","39","5177.89999999851","1","89","1195.6000000014901","1580.5","5189.800000000745",""
"43","http://localhost:8080/","2025-1-9","12:27:42","172","5185","5937","962","177.20000000298023","39","5167.60000000149","1","89","1174.6000000014901","1568.5","5179.300000000745",""
"44","http://localhost:8080/","2025-1-9","12:27:53","170","5171","5930.699999999255","968.3000000007451","175.69999999925494","40","5154.60000000149","1","90","1174","1566.3999999985099","5165.699999999255",""
"45","http://localhost:8080/","2025-1-9","12:28:04","171","5184","5936.60000000149","978.3999999985099","176.5","42","5165.10000000149","1","92","1188.199999999255","1580.699999999255","5176.89999999851",""
"46","http://localhost:8080/","2025-1-9","12:28:14","171","5177","5929","979.0999999977648","176.5","38","5160.699999999255","1","88","1189.0999999977648","1572.5999999977648","5171.699999999255",""
"47","http://localhost:8080/","2025-1-9","12:28:25","170","5195","5942.10000000149","967.1999999992549","176.19999999925494","39","5177.5","1","89","1180.8999999985099","1573.5","5187.60000000149",""
"48","http://localhost:8080/","2025-1-9","12:28:36","171","5173","5923.5","956.9000000022352","176","38","5154.800000000745","1","88","1167.4000000022352","1559.7000000029802","5166.20000000298",""
"49","http://localhost:8080/","2025-1-9","12:28:46","170","5169","5920.400000002235","970.4000000022352","177","39","5153.800000000745","1","89","1181.199999999255","1572.5","5164.699999999255",""
"50","http://localhost:8080/","2025-1-9","12:28:57","170","5170","5921.800000000745","980","177","38","5153.300000000745","1","88","1187.1000000014901","1565.800000000745","5164.699999999255",""
"51","http://localhost:8080/","2025-1-9","12:29:08","171","5181","5924.699999999255","958.1000000014901","176.80000000074506","38","5163.199999999255","1","88","1167.9000000022352","1560.699999999255","5174.5",""
"52","http://localhost:8080/","2025-1-9","12:29:18","170","5171","5926.099999997765","976.1999999992549","175.39999999850988","38","5153.39999999851","1","88","1182","1566","5165",""
"53","http://localhost:8080/","2025-1-9","12:29:29","170","5178","5932","957.0999999977648","176","39","5161.599999997765","1","89","1167.5999999977648","1558.7999999970198","5172.89999999851",""
"54","http://localhost:8080/","2025-1-9","12:29:40","171","5188","5941.300000000745","974.6000000014901","176.30000000074506","38","5172.5","1","88","1188.4000000022352","1581.199999999255","5183.800000000745",""
"55","http://localhost:8080/","2025-1-9","12:29:50","170","5189","5939","964.0999999977648","175.80000000074506","39","5169.89999999851","1","89","1173.300000000745","1558.199999999255","5181.199999999255",""
"56","http://localhost:8080/","2025-1-9","12:30:01","171","5178","5926.400000002235","968.1000000014901","175.20000000298023","39","5160.300000000745","1","89","1181.5","1557.9000000022352","5172.60000000149",""
"57","http://localhost:8080/","2025-1-9","12:30:12","171","5174","5925.20000000298","966.8000000007451","176.60000000149012","40","5158","1","90","1181.2000000029802","1567.300000000745","5169.300000000745",""
"58","http://localhost:8080/","2025-1-9","12:30:23","178","5183","5927","977","182.5","41","5164.29999999702","1","91","1187.0999999977648","1567.199999999255","5176",""
"59","http://localhost:8080/","2025-1-9","12:30:33","169","5190","5943.800000000745","968.6999999992549","175.19999999925494","40","5174.599999997765","1","90","1180.5","1558.3999999985099","5185.599999997765",""
"60","http://localhost:8080/","2025-1-9","12:30:44","171","5172","5926.300000000745","968","175.5","37","5154.800000000745","1","87","1173.6000000014901","1560.4000000022352","5165.800000000745",""
"61","http://localhost:8080/","2025-1-9","12:30:55","170","5166","5915.599999997765","973.8999999985099","175.39999999850988","39","5146.599999997765","1","89","1180.199999999255","1559.5999999977648","5160.699999999255",""
"62","http://localhost:8080/","2025-1-9","12:31:05","170","5169","5927.400000002235","960.8000000007451","175.5","38","5154","1","88","1174.9000000022352","1559.1000000014901","5164.5",""
"63","http://localhost:8080/","2025-1-9","12:31:16","171","5188","5930.39999999851","972.0999999977648","176.29999999701977","38","5168.89999999851","1","88","1181.5999999977648","1575","5180.89999999851",""
"64","http://localhost:8080/","2025-1-9","12:31:27","170","5179","5933.199999999255","983.1999999992549","176.89999999850988","38","5161.699999999255","1","88","1195.5999999977648","1581.699999999255","5172",""
"65","http://localhost:8080/","2025-1-9","12:31:38","170","5162","5913","963","175.20000000298023","38","5146.20000000298","1","88","1173.1000000014901","1560.6000000014901","5157.60000000149",""
"66","http://localhost:8080/","2025-1-9","12:31:48","171","5180","5933","966.3999999985099","176.10000000149012","38","5163.39999999851","1","88","1182.199999999255","1565.5","5174.800000000745",""
"67","http://localhost:8080/","2025-1-9","12:31:59","171","5153","5903.39999999851","961.6999999992549","175.89999999850988","37","5137.10000000149","1","87","1173.800000000745","1551.5","5148.60000000149",""
"68","http://localhost:8080/","2025-1-9","12:32:10","170","5173","5927.199999999255","960.5","175.30000000074506","39","5155.60000000149","1","89","1174.199999999255","1561","5166.699999999255",""
"69","http://localhost:8080/","2025-1-9","12:32:20","171","5157","5910.89999999851","952.6000000014901","175.30000000074506","37","5139.39999999851","1","87","1166.800000000745","1553.199999999255","5150.300000000745",""
"70","http://localhost:8080/","2025-1-9","12:32:31","170","5177","5934.39999999851","959.3999999985099","175.09999999776483","39","5162","1","89","1173.3999999985099","1557.7999999970198","5172.199999999255",""
"71","http://localhost:8080/","2025-1-9","12:32:42","170","5189","5941.800000000745","966.8000000007451","175.30000000074506","35","5171.599999997765","1","85","1181.3999999985099","1574.0999999977648","5183.5",""
"72","http://localhost:8080/","2025-1-9","12:32:52","170","5160","5917.5","959.2000000029802","175.10000000149012","39","5143.5","1","89","1165","1544.9000000022352","5155.400000002235",""
"73","http://localhost:8080/","2025-1-9","12:33:03","171","5181","5936.800000000745","970.1999999992549","175.5","39","5161.400000002235","1","89","1189.5","1572.6000000014901","5175.10000000149",""
"74","http://localhost:8080/","2025-1-9","12:33:14","172","5193","5946","962.6999999992549","175.5","37","5175.300000000745","1","87","1181","1568.5","5187.10000000149",""
"75","http://localhost:8080/","2025-1-9","12:33:24","170","5176","5960.599999997765","960.5999999977648","175.19999999925494","38","5155.099999997765","1","88","1174.0999999977648","1559.2999999970198","5169.29999999702",""
"76","http://localhost:8080/","2025-1-9","12:33:35","170","5151","5893.29999999702","951.5999999977648","175.29999999701977","38","5134","1","88","1166.699999999255","1546.199999999255","5144.79999999702",""
"77","http://localhost:8080/","2025-1-9","12:33:46","170","5170","5920.800000000745","970.8000000007451","176.5","37","5153.5","1","87","1181.5999999977648","1565.8999999985099","5164.800000000745",""
"78","http://localhost:8080/","2025-1-9","12:33:57","170","5165","5919","960.6000000014901","175.39999999850988","38","5148.39999999851","1","88","1174.5","1558.6000000014901","5159.699999999255",""
"79","http://localhost:8080/","2025-1-9","12:34:07","171","5178","5930.10000000149","963.3999999985099","175.19999999925494","42","5159.199999999255","1","92","1174.300000000745","1557.6000000014901","5172.300000000745",""
"80","http://localhost:8080/","2025-1-9","12:34:18","170","5176","5929.699999999255","971.2999999970198","176.29999999701977","39","5159.599999997765","1","89","1182.2999999970198","1573.699999999255","5170",""
"81","http://localhost:8080/","2025-1-9","12:34:29","170","5193","5940.39999999851","982.0999999977648","177.89999999850988","39","5175.300000000745","1","89","1197","1580.699999999255","5185.89999999851",""
"82","http://localhost:8080/","2025-1-9","12:34:39","171","5182","5932.599999997765","974.1999999992549","175.5","39","5164.599999997765","1","89","1189.199999999255","1581.199999999255","5175.699999999255",""
"83","http://localhost:8080/","2025-1-9","12:34:50","170","5165","5917.800000000745","967.8000000007451","176.69999999925494","38","5149.400000002235","1","88","1173.9000000022352","1560.5","5160.800000000745",""
"84","http://localhost:8080/","2025-1-9","12:35:01","178","5169","5927","976.8999999985099","183.69999999925494","37","5152.199999999255","1","87","1186.6000000014901","1567","5163",""
"85","http://localhost:8080/","2025-1-9","12:35:11","170","5183","5947.300000000745","963.9000000022352","176.10000000149012","37","5166.300000000745","1","87","1183","1566.2000000029802","5177.800000000745",""
"86","http://localhost:8080/","2025-1-9","12:35:22","170","5151","5917.20000000298","958.9000000022352","175.60000000149012","37","5135.400000002235","1","87","1165.2000000029802","1544.6000000014901","5145.900000002235",""
"87","http://localhost:8080/","2025-1-9","12:35:33","170","5163","5908.699999999255","958.8000000007451","176","38","5145","1","88","1172.6000000014901","1560.5","5156.199999999255",""
"88","http://localhost:8080/","2025-1-9","12:35:43","170","5179","5929.5","962.8000000007451","176.5","38","5162.10000000149","1","88","1173.1000000014901","1560.6000000014901","5174.20000000298",""
"89","http://localhost:8080/","2025-1-9","12:35:54","170","5193","5951.39999999851","976.3999999985099","177","37","5174.89999999851","1","87","1195.800000000745","1580.5","5186.300000000745",""
"90","http://localhost:8080/","2025-1-9","12:36:05","169","5168","5922.699999999255","964.3000000007451","175.39999999850988","37","5152.199999999255","1","87","1175.5","1558.5999999977648","5163.800000000745",""
"91","http://localhost:8080/","2025-1-9","12:36:16","170","5184","5940.5","990.5","176.69999999925494","38","5168.60000000149","1","88","1196.6000000014901","1580.800000000745","5179.5",""
"92","http://localhost:8080/","2025-1-9","12:36:26","170","5183","5942.60000000149","975.8999999985099","176.60000000149012","38","5166.300000000745","1","88","1194.300000000745","1575","5177.39999999851",""
"93","http://localhost:8080/","2025-1-9","12:36:37","179","5199","5956.599999997765","981.6999999992549","183","40","5183.5","1","90","1195.2999999970198","1588.5999999977648","5194.199999999255",""
"94","http://localhost:8080/","2025-1-9","12:36:48","169","5179","5929.599999997765","963","176.89999999850988","37","5160.699999999255","1","87","1173.5","1561","5172",""
"95","http://localhost:8080/","2025-1-9","12:36:58","170","5188","5940.199999999255","982","175.5","39","5170.39999999851","1","89","1187.5999999977648","1580.0999999977648","5181.89999999851",""
"96","http://localhost:8080/","2025-1-9","12:37:09","169","5144","5905.099999997765","955.0999999977648","175.09999999776483","38","5126.599999997765","1","88","1165","1545.5","5137.800000000745",""
"97","http://localhost:8080/","2025-1-9","12:37:20","180","5186","5938.5","971.8000000007451","181","39","5167.900000002235","1","89","1185.9000000022352","1572","5178.699999999255",""
"98","http://localhost:8080/","2025-1-9","12:37:30","170","5170","5918.10000000149","968.1999999992549","175.60000000149012","38","5154.199999999255","1","88","1182.300000000745","1566.1000000014901","5165.199999999255",""
"99","http://localhost:8080/","2025-1-9","12:37:41","171","5177","5928","969.6999999992549","175.59999999776483","37","5160.699999999255","1","87","1180.2999999970198","1559.5999999977648","5172",""
"100","http://localhost:8080/","2025-1-9","12:37:52","170","5187","5938.300000000745","975.8000000007451","176.39999999850988","40","5170.5","1","90","1181.800000000745","1573.699999999255","5181.300000000745",""
"101","http://localhost:8080/","2025-1-9","12:38:02","171","5168","5926.39999999851","959.8000000007451","175.69999999925494","37","5152.39999999851","1","87","1174.0999999977648","1560.5","5163.599999997765",""
"102","http://localhost:8080/","2025-1-9","12:38:13","171","5187","5930","963.3999999985099","175.80000000074506","37","5170.199999999255","1","87","1173","1561.0999999977648","5181.199999999255",""
"103","http://localhost:8080/","2025-1-9","12:38:24","170","5172","5926.199999999255","967.8999999985099","174.80000000074506","40","5153.800000000745","1","90","1174.199999999255","1566.5","5164.5",""
"104","http://localhost:8080/","2025-1-9","12:38:35","170","5171","5919.60000000149","961.3000000007451","175.60000000149012","39","5153.900000002235","1","89","1166.9000000022352","1559.9000000022352","5165.400000002235",""
"105","http://localhost:8080/","2025-1-9","12:38:45","171","5205","5957.5","982.6000000014901","175.60000000149012","38","5187.800000000745","1","88","1188.6000000014901","1581","5199.400000002235",""
"106","http://localhost:8080/","2025-1-9","12:38:56","170","5170","5918","968.1000000014901","175.80000000074506","39","5154.70000000298","1","89","1174.4000000022352","1560","5165.300000000745",""
"107","http://localhost:8080/","2025-1-9","12:39:07","170","5174","5943.800000000745","952.2000000029802","175.5","38","5155.60000000149","1","88","1166.4000000022352","1552.4000000022352","5169.20000000298",""
"108","http://localhost:8080/","2025-1-9","12:39:17","172","5186","5941.5","974.9000000022352","176.60000000149012","37","5167.900000002235","1","87","1188.4000000022352","1573.4000000022352","5179.300000000745",""
"109","http://localhost:8080/","2025-1-9","12:39:28","170","5174","5934.5","959.5","175.29999999701977","36","5157.599999997765","1","86","1174.2999999970198","1558.3999999985099","5168.699999999255",""
