idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,nf:init,nf:config,nf:loaded,error
"1","http://localhost:8080/","2025-1-9","11:13:40","132","225","423.3999999985099","240.09999999962747","155.19999999925494","0","240.09999999962747","0","-1","205.19999999925494","215.09999999962747","288.8999999985099",""
"2","http://localhost:8080/","2025-1-9","11:13:46","12","76","170.69999999925494","70.69999999925494","7.799999998882413","0","70.69999999925494","0","-1","55.19999999925494","65.09999999962747","136.90000000037253",""
"3","http://localhost:8080/","2025-1-9","11:13:52","12","78","163.90000000037253","72.19999999925494","8.5","0","72.19999999925494","0","-1","53.30000000074506","62.09999999962747","133.19999999925494",""
"4","http://localhost:8080/","2025-1-9","11:13:57","9","64","163.5","71.79999999888241","5.299999998882413","0","71.79999999888241","0","-1","50.90000000037253","58.5","129.5",""
"5","http://localhost:8080/","2025-1-9","11:14:03","10","68","165.69999999925494","74","5.199999999254942","0","74","0","-1","52","61.40000000037253","135.90000000037253",""
"6","http://localhost:8080/","2025-1-9","11:14:09","10","70","164","72.30000000074506","5.599999999627471","0","72.30000000074506","0","-1","49.5","55.80000000074506","131.2000000011176",""
"7","http://localhost:8080/","2025-1-9","11:14:14","10","70","165.09999999962747","73.5","6.400000000372529","0","73.5","0","-1","48.80000000074506","56.20000000111759","130.40000000037253",""
"8","http://localhost:8080/","2025-1-9","11:14:20","10","69","167.69999999925494","67.69999999925494","6","0","67.69999999925494","0","-1","50.59999999962747","62.90000000037253","134.40000000037253",""
"9","http://localhost:8080/","2025-1-9","11:14:25","28","92","159.5","67.90000000037253","6.300000000745058","0","67.90000000037253","0","-1","50.09999999962747","60","131.69999999925494",""
"10","http://localhost:8080/","2025-1-9","11:14:31","9","72","159.09999999962747","67.39999999850988","4.799999998882413","0","67.39999999850988","0","-1","49.19999999925494","57.59999999962747","129.59999999962747",""
"11","http://localhost:8080/","2025-1-9","11:14:37","10","71","164.2000000011176","72.59999999962747","5.200000001117587","0","72.59999999962747","0","-1","49.90000000037253","56.20000000111759","131.90000000037253",""
"12","http://localhost:8080/","2025-1-9","11:14:42","9","68","166.2000000011176","66.20000000111759","4.800000000745058","0","66.20000000111759","0","-1","50.20000000111759","59.30000000074506","133.40000000037253",""
"13","http://localhost:8080/","2025-1-9","11:14:48","10","71","168.40000000037253","76.70000000111759","5.300000000745058","0","76.70000000111759","0","-1","51.59999999962747","64.59999999962747","139.5",""
"14","http://localhost:8080/","2025-1-9","11:14:53","10","71","159.5","67.80000000074506","5.800000000745058","0","67.80000000074506","0","-1","49.5","56.59999999962747","128.90000000037253",""
"15","http://localhost:8080/","2025-1-9","11:14:59","11","71","167.40000000037253","67.40000000037253","5.099999999627471","0","67.40000000037253","0","-1","49.90000000037253","57.59999999962747","130.30000000074506",""
"16","http://localhost:8080/","2025-1-9","11:15:04","9","69","162.30000000074506","70.70000000111759","4.300000000745058","0","70.70000000111759","0","-1","46.90000000037253","52.80000000074506","132",""
"17","http://localhost:8080/","2025-1-9","11:15:10","10","72","160.40000000037253","68.80000000074506","5.900000000372529","0","68.80000000074506","0","-1","50.20000000111759","57.40000000037253","130.7000000011176",""
"18","http://localhost:8080/","2025-1-9","11:15:16","9","68","163.10000000149012","71.40000000037253","3.900000000372529","0","71.40000000037253","0","-1","47.40000000037253","54.600000001490116","130.30000000074506",""
"19","http://localhost:8080/","2025-1-9","11:15:21","9","67","160.80000000074506","69.09999999962747","4.900000000372529","0","69.09999999962747","0","-1","46.80000000074506","53.20000000111759","128.09999999962747",""
"20","http://localhost:8080/","2025-1-9","11:15:27","10","71","157.09999999962747","73.70000000111759","5.099999999627471","0","73.70000000111759","0","-1","49.30000000074506","56.59999999962747","130.2000000011176",""
"21","http://localhost:8080/","2025-1-9","11:15:32","10","63","160.90000000037253","69.20000000111759","4.700000001117587","0","69.20000000111759","0","-1","47.80000000074506","53.5","127.5",""
