idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,nf:init,nf:config,nf:loaded,error
"1","http://localhost:8080/","2025-1-11","07:18:43","186","4209","4902.399999999907","1077.5","176.60000000009313","231","4190.600000000093","3","238","1383.3999999999069","1725.6000000000931","4191",""
"2","http://localhost:8080/","2025-1-11","07:18:52","181","4145","4796.800000000279","1055.1000000000931","176","224","4129.100000000093","3","237","1326.4000000003725","1664.1000000000931","4129.300000000279",""
"3","http://localhost:8080/","2025-1-11","07:19:02","181","4122","4797.200000000186","1047.2000000001863","176.29999999981374","221","4103.600000000093","3","234","1317.3999999999069","1655.1000000000931","4103.899999999907",""
"4","http://localhost:8080/","2025-1-11","07:19:12","173","4116","4773.5999999996275","1044.5","169.6999999997206","222","4098.5999999996275","3","231","1315.8999999999069","1647","4099.299999999814",""
"5","http://localhost:8080/","2025-1-11","07:19:21","174","4128","4756.399999999907","1039.6000000000931","170.5","222","4113","3","230","1311.5","1648.5","4111.5",""
"6","http://localhost:8080/","2025-1-11","07:19:31","172","4113","4745.299999999814","1020.3999999999069","170.39999999990687","218","4093.5","3","230","1294","1634","4093.7999999998137",""
"7","http://localhost:8080/","2025-1-11","07:19:41","172","4110","4769.600000000093","1027.8999999999069","169.89999999990687","221","4095.100000000093","3","230","1298.8999999999069","1641.8999999999069","4095.100000000093",""
"8","http://localhost:8080/","2025-1-11","07:19:50","172","4109","4743.5","1026.8999999999069","169.10000000009313","222","4092.399999999907","3","232","1294.8999999999069","1633.3999999999069","4092.3000000002794",""
"9","http://localhost:8080/","2025-1-11","07:20:00","180","4132","4761.700000000186","1053.3000000002794","177.70000000018626","219","4112.100000000093","3","230","1326.1000000000931","1654.8000000002794","4112.399999999907",""
"10","http://localhost:8080/","2025-1-11","07:20:09","180","4136","4776","1042.6999999997206","176.39999999990687","218","4116.799999999814","3","231","1314.5","1655.0999999996275","4117.699999999721",""
"11","http://localhost:8080/","2025-1-11","07:20:19","173","4115","4773.800000000279","1032","169.70000000018626","227","4101.800000000279","3","233","1301","1641.8000000002794","4102",""
"12","http://localhost:8080/","2025-1-11","07:20:29","181","4139","4773.899999999907","1048.7999999998137","176.39999999990687","220","4120.699999999721","3","232","1320.0999999996275","1663","4121.5999999996275",""
"13","http://localhost:8080/","2025-1-11","07:20:38","180","4121","4799.299999999814","1041","177.5","215","4102.0999999996275","3","225","1310.8999999999069","1648.5999999996275","4102.0999999996275",""
"14","http://localhost:8080/","2025-1-11","07:20:48","173","4139","4770.899999999907","1045.8999999999069","170.79999999981374","221","4119.100000000093","3","231","1320","1656.2000000001863","4119.600000000093",""
