idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,nf:init,nf:config,nf:loaded,error
"1","http://localhost:8080/","2025-1-10","13:13:52","177","3800","4564.10000000149","1047.4000000022352","173.90000000223517","63","3742","2","113","1268.300000000745","1594.5","3789.5",""
"2","http://localhost:8080/","2025-1-10","13:14:01","163","3642","4389.5","964.4000000022352","168.80000000074506","41","3617","1","91","1174.5","1501.5","3670.300000000745",""
"3","http://localhost:8080/","2025-1-10","13:14:10","171","3633","4408.20000000298","966.6000000014901","176.20000000298023","38","3607.10000000149","1","88","1172.300000000745","1508.5","3660.7000000029802",""
"4","http://localhost:8080/","2025-1-10","13:14:20","171","3612","4359.79999999702","959.7999999970198","176.5","39","3586.7999999970198","1","89","1172.199999999255","1494.5999999977648","3640.5",""
"5","http://localhost:8080/","2025-1-10","13:14:29","170","3668","4388","954.6000000014901","175.5","41","3619.5","1","91","1171.4000000022352","1507.5","3662.10000000149",""
"6","http://localhost:8080/","2025-1-10","13:14:38","164","3622","4374","949","168.80000000074506","36","3598.10000000149","1","86","1160.6000000014901","1494.1000000014901","3651.10000000149",""
"7","http://localhost:8080/","2025-1-10","13:14:47","163","3614","4381.5","956.5999999977648","168.19999999925494","38","3590.89999999851","1","88","1173.199999999255","1502.2999999970198","3644.5",""
"8","http://localhost:8080/","2025-1-10","13:14:56","163","3652","4380.900000002235","955.9000000022352","167.80000000074506","38","3603.300000000745","1","88","1167.5","1493.699999999255","3644.199999999255",""
"9","http://localhost:8080/","2025-1-10","13:15:05","162","3630","4368.400000002235","951.8000000007451","167.69999999925494","39","3604.400000002235","1","89","1166.5","1501.699999999255","3659.699999999255",""
"10","http://localhost:8080/","2025-1-10","13:15:15","164","3604","4360.099999997765","960","169.79999999701977","38","3580","1","88","1166","1487.199999999255","3633.199999999255",""
"11","http://localhost:8080/","2025-1-10","13:15:24","163","3655","4393.699999999255","960.5","168.19999999925494","38","3609.800000000745","1","88","1172.5","1500.5","3649.300000000745",""
"12","http://localhost:8080/","2025-1-10","13:15:33","171","3630","4395.39999999851","962.0999999977648","176.79999999701977","39","3607.7999999970198","1","89","1173.5999999977648","1508.699999999255","3659.39999999851",""
"13","http://localhost:8080/","2025-1-10","13:15:42","170","3631","4388.10000000149","963.1000000014901","174.10000000149012","40","3606.10000000149","1","90","1171.5","1507.800000000745","3659.5",""
"14","http://localhost:8080/","2025-1-10","13:15:51","170","3609","4359.20000000298","959.2000000029802","176.40000000223517","38","3584.800000000745","1","88","1164.300000000745","1487.1000000014901","3640.5",""
"15","http://localhost:8080/","2025-1-10","13:16:00","171","3634","4386.89999999851","970.1999999992549","175.59999999776483","39","3608.39999999851","1","89","1180.199999999255","1508.699999999255","3662.599999997765",""
"16","http://localhost:8080/","2025-1-10","13:16:10","163","3617","4372.699999999255","964.2999999970198","168.69999999925494","37","3593","1","87","1174.0999999977648","1500.5999999977648","3646.5",""
"17","http://localhost:8080/","2025-1-10","13:16:19","171","3622","4361.60000000149","970","176","37","3595.39999999851","1","87","1173.800000000745","1501.699999999255","3649.5",""
"18","http://localhost:8080/","2025-1-10","13:16:28","171","3601","4365.60000000149","948.9000000022352","176.40000000223517","40","3576.60000000149","1","90","1157.9000000022352","1479.7000000029802","3630.2000000029802",""
