idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,nf:init,nf:config,nf:loaded,error
"1","http://localhost:8080/","2025-1-10","09:20:43","143","231","414","247.29999999981374","169.5","0","247.29999999981374","0","-1","207.5","219.5","280.39999999990687",""
"2","http://localhost:8080/","2025-1-10","09:20:49","12","118","166.60000000009313","83.1999999997206","6.5","0","83.1999999997206","0","-1","46","53.60000000009313","110.5",""
"3","http://localhost:8080/","2025-1-10","09:20:54","11","73","155.60000000009313","72.29999999981374","8.299999999813735","0","72.29999999981374","0","-1","55","65.60000000009313","125.39999999990687",""
"4","http://localhost:8080/","2025-1-10","09:21:00","12","72","153.79999999981374","78.79999999981374","6.2999999998137355","0","78.79999999981374","0","-1","55.1999999997206","65.6999999997206","124.5",""
"5","http://localhost:8080/","2025-1-10","09:21:06","10","72","150.79999999981374","75.89999999990687","6.7999999998137355","0","75.89999999990687","0","-1","50.89999999990687","58.799999999813735","120",""
"6","http://localhost:8080/","2025-1-10","09:21:11","12","72","152.79999999981374","69.5","6.099999999627471","0","69.5","0","-1","52.09999999962747","60.89999999990687","120.79999999981374",""
"7","http://localhost:8080/","2025-1-10","09:21:17","13","68","157.1999999997206","73.89999999990687","5.7999999998137355","0","73.89999999990687","0","-1","51.39999999990687","61.39999999990687","122.79999999981374",""
"8","http://localhost:8080/","2025-1-10","09:21:22","11","67","147.29999999981374","72.29999999981374","5.2999999998137355","0","72.29999999981374","0","-1","51.39999999990687","59.10000000009313","120.10000000009313",""
"9","http://localhost:8080/","2025-1-10","09:21:28","13","69","149.29999999981374","74.29999999981374","5.599999999627471","0","74.29999999981374","0","-1","50","59.89999999990687","119.89999999990687",""
"10","http://localhost:8080/","2025-1-10","09:21:34","11","85","153.09999999962747","69.79999999981374","5","0","69.79999999981374","0","-1","51.299999999813735","60","120.59999999962747",""
"11","http://localhost:8080/","2025-1-10","09:21:39","11","64","153.39999999990687","70","5","0","70","0","-1","52.1999999997206","61.60000000009313","121.39999999990687",""
"12","http://localhost:8080/","2025-1-10","09:21:45","10","72","152.6999999997206","69.29999999981374","5.199999999720603","0","69.29999999981374","0","-1","51.09999999962747","60.6999999997206","122.79999999981374",""
"13","http://localhost:8080/","2025-1-10","09:21:50","13","67","156.39999999990687","73.09999999962747","5.2999999998137355","0","73.09999999962747","0","-1","50.6999999997206","57.299999999813735","120.59999999962747",""
"14","http://localhost:8080/","2025-1-10","09:21:56","11","72","151.89999999990687","76.89999999990687","5.300000000279397","0","76.89999999990687","0","-1","53.39999999990687","60.89999999990687","122.8000000002794",""
"15","http://localhost:8080/","2025-1-10","09:22:01","10","68","157.40000000037253","74","5.100000000093132","0","74","0","-1","50.60000000009313","57.60000000009313","120.20000000018626",""
"16","http://localhost:8080/","2025-1-10","09:22:07","21","98","148.89999999990687","74","5.600000000093132","0","74","0","-1","48.3000000002794","54.5","117.10000000009313",""
