idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,nf:init,nf:config,nf:loaded,error
"1","http://localhost:8080/","2025-1-6","15:04:58","181","1083","1063.6000000014901","1063.6000000014901","190.40000000223517","0","1033.699999999255","1","105","-1","-1","-1",""
"2","http://localhost:8080/","2025-1-6","15:05:04","172","1050","1043.5","1043.5","183.59999999776483","0","1018.8000000007451","1","90","-1","-1","-1",""
"3","http://localhost:8080/","2025-1-6","15:05:11","173","1060","1058.1000000014901","1058.1000000014901","183.60000000149012","0","1010.9000000022352","1","80","-1","-1","-1",""
"4","http://localhost:8080/","2025-1-6","15:05:17","180","1061","1059.699999999255","1059.699999999255","190.5","0","1009","1","73","-1","-1","-1",""
"5","http://localhost:8080/","2025-1-6","15:05:24","181","1060","1049.8999999985099","1049.8999999985099","190.5","0","1025","1","97","-1","-1","-1",""
"6","http://localhost:8080/","2025-1-6","15:05:31","179","1053","1051.2000000029802","1051.2000000029802","190.80000000074506","0","1020.8000000007451","1","90","-1","-1","-1",""
"7","http://localhost:8080/","2025-1-6","15:05:37","171","1039","1033.699999999255","1033.699999999255","183.60000000149012","0","1007","1","84","-1","-1","-1",""
"8","http://localhost:8080/","2025-1-6","15:05:44","180","1051","1051.0999999977648","1051.0999999977648","190.89999999850988","0","1020.0999999977648","1","91","-1","-1","-1",""
"9","http://localhost:8080/","2025-1-6","15:05:50","172","1053","1053.0999999977648","1053.0999999977648","183.69999999925494","0","1005.3000000007451","1","77","-1","-1","-1",""
"10","http://localhost:8080/","2025-1-6","15:05:57","181","1061","1051.300000000745","1051.300000000745","190.80000000074506","0","1025.699999999255","1","90","-1","-1","-1",""
"11","http://localhost:8080/","2025-1-6","15:06:03","173","1056","1053.4000000022352","1053.4000000022352","183.30000000074506","0","1026.6000000014901","1","96","-1","-1","-1",""
"12","http://localhost:8080/","2025-1-6","15:06:10","172","1040","1041","1041","183.40000000223517","0","1010.6999999992549","1","89","-1","-1","-1",""
"13","http://localhost:8080/","2025-1-6","15:06:16","172","1041","1032.699999999255","1032.699999999255","183.69999999925494","0","1007.5","1","93","-1","-1","-1",""
"14","http://localhost:8080/","2025-1-6","15:06:23","181","1050","1051.300000000745","1051.300000000745","190.69999999925494","0","1020.8000000007451","1","90","-1","-1","-1",""
"15","http://localhost:8080/","2025-1-6","15:06:29","181","1056","1054.800000000745","1054.800000000745","190.40000000223517","0","1024.6000000014901","1","89","-1","-1","-1",""
"16","http://localhost:8080/","2025-1-6","15:06:36","174","1065","1064.199999999255","1064.199999999255","184.69999999925494","0","1014.0999999977648","1","74","-1","-1","-1",""
"17","http://localhost:8080/","2025-1-6","15:06:43","174","1054","1050.300000000745","1050.300000000745","184.40000000223517","0","1018.5","1","96","-1","-1","-1",""
"18","http://localhost:8080/","2025-1-6","15:06:49","172","1041","1037.199999999255","1037.199999999255","183.5","0","1011.6999999992549","1","90","-1","-1","-1",""
"19","http://localhost:8080/","2025-1-6","15:06:56","172","1060","1051.800000000745","1051.800000000745","183.60000000149012","0","1026.6000000014901","1","93","-1","-1","-1",""
"20","http://localhost:8080/","2025-1-6","15:07:02","173","1042","1040","1040","183.59999999776483","0","1011","1","89","-1","-1","-1",""
"21","http://localhost:8080/","2025-1-6","15:07:09","182","1060","1050.800000000745","1050.800000000745","190.80000000074506","0","1025.800000000745","1","87","-1","-1","-1",""
"22","http://localhost:8080/","2025-1-6","15:07:15","173","1068","1058.699999999255","1058.699999999255","183.59999999776483","0","1014.0999999977648","1","76","-1","-1","-1",""
"23","http://localhost:8080/","2025-1-6","15:07:22","179","1057","1049.699999999255","1049.699999999255","190.59999999776483","0","1023.7999999970198","1","92","-1","-1","-1",""
"24","http://localhost:8080/","2025-1-6","15:07:28","179","1069","1059.8999999985099","1059.8999999985099","190.80000000074506","0","1014.5999999977648","1","76","-1","-1","-1",""
"25","http://localhost:8080/","2025-1-6","15:07:35","178","1068","1066.199999999255","1066.199999999255","190.59999999776483","0","1013.8999999985099","1","78","-1","-1","-1",""
"26","http://localhost:8080/","2025-1-6","15:07:42","172","1056","1044.4000000022352","1044.4000000022352","183.5","0","1021.9000000022352","1","87","-1","-1","-1",""
"27","http://localhost:8080/","2025-1-6","15:07:48","181","1052","1051.0999999977648","1051.0999999977648","191","0","1021","1","92","-1","-1","-1",""
"28","http://localhost:8080/","2025-1-6","15:07:55","179","1059","1057.699999999255","1057.699999999255","190.89999999850988","0","1027.699999999255","1","91","-1","-1","-1",""
"29","http://localhost:8080/","2025-1-6","15:08:01","172","1060","1049.699999999255","1049.699999999255","183.89999999850988","0","1005.6999999992549","1","73","-1","-1","-1",""
"30","http://localhost:8080/","2025-1-6","15:08:08","173","1045","1041","1041","184","0","1015.1999999992549","1","93","-1","-1","-1",""
"31","http://localhost:8080/","2025-1-6","15:08:14","172","1053","1053.199999999255","1053.199999999255","183.40000000223517","0","1006.6999999992549","1","76","-1","-1","-1",""
"32","http://localhost:8080/","2025-1-6","15:08:21","180","1051","1048.4000000022352","1048.4000000022352","190.69999999925494","0","1022","1","94","-1","-1","-1",""
"33","http://localhost:8080/","2025-1-6","15:08:27","172","1045","1044.9000000022352","1044.9000000022352","183.19999999925494","0","1014.5","1","93","-1","-1","-1",""
"34","http://localhost:8080/","2025-1-6","15:08:34","172","1047","1043.800000000745","1043.800000000745","183.40000000223517","0","1015.4000000022352","1","94","-1","-1","-1",""
