idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,nf:init,nf:config,nf:loaded,error
"1","http://localhost:8080/","2025-1-6","13:38:20","164","972","974.5","974.5","182.19999999925494","0","974.5","0","-1","-1","-1","-1",""
"2","http://localhost:8080/","2025-1-6","13:38:26","164","975","982.1999999992549","982.1999999992549","182.40000000037253","0","982.1999999992549","0","-1","-1","-1","-1",""
"3","http://localhost:8080/","2025-1-6","13:38:33","165","971","978.2000000011176","978.2000000011176","184.09999999962747","0","978.2000000011176","0","-1","-1","-1","-1",""
"4","http://localhost:8080/","2025-1-6","13:38:39","170","976","984.1999999992549","984.1999999992549","189.90000000037253","0","984.1999999992549","0","-1","-1","-1","-1",""
"5","http://localhost:8080/","2025-1-6","13:38:46","170","967","975.6000000014901","975.6000000014901","189.90000000037253","0","975.6000000014901","0","-1","-1","-1","-1",""
"6","http://localhost:8080/","2025-1-6","13:38:52","171","976","983.5","983.5","189.40000000037253","0","983.5","0","-1","-1","-1","-1",""
"7","http://localhost:8080/","2025-1-6","13:38:59","172","986","983.5999999996275","983.5999999996275","189.59999999962747","0","983.5999999996275","0","-1","-1","-1","-1",""
"8","http://localhost:8080/","2025-1-6","13:39:05","171","972","971.8000000007451","971.8000000007451","189.59999999962747","0","971.8000000007451","0","-1","-1","-1","-1",""
"9","http://localhost:8080/","2025-1-6","13:39:12","163","967","966.3000000007451","966.3000000007451","183","0","966.3000000007451","0","-1","-1","-1","-1",""
"10","http://localhost:8080/","2025-1-6","13:39:18","170","977","984.8999999985099","984.8999999985099","190","0","984.8999999985099","0","-1","-1","-1","-1",""
"11","http://localhost:8080/","2025-1-6","13:39:25","170","969","975.5","975.5","189.69999999925494","0","975.5","0","-1","-1","-1","-1",""
"12","http://localhost:8080/","2025-1-6","13:39:31","170","965","971.6999999992549","971.6999999992549","189.09999999962747","0","971.6999999992549","0","-1","-1","-1","-1",""
"13","http://localhost:8080/","2025-1-6","13:39:38","171","969","975.7000000011176","975.7000000011176","189.59999999962747","0","975.7000000011176","0","-1","-1","-1","-1",""
"14","http://localhost:8080/","2025-1-6","13:39:44","170","974","980.5","980.5","189.5","0","980.5","0","-1","-1","-1","-1",""
"15","http://localhost:8080/","2025-1-6","13:39:50","171","975","972.2999999988824","972.2999999988824","188.7999999988824","0","972.2999999988824","0","-1","-1","-1","-1",""
"16","http://localhost:8080/","2025-1-6","13:39:57","169","982","980.2999999988824","980.2999999988824","188.59999999962747","0","980.2999999988824","0","-1","-1","-1","-1",""
"17","http://localhost:8080/","2025-1-6","13:40:03","173","964","971.1999999992549","971.1999999992549","190.39999999850988","0","971.1999999992549","0","-1","-1","-1","-1",""
"18","http://localhost:8080/","2025-1-6","13:40:10","170","989","988.5","988.5","189.90000000037253","0","988.5","0","-1","-1","-1","-1",""
"19","http://localhost:8080/","2025-1-6","13:40:16","163","979","986.8000000007451","986.8000000007451","183.2000000011176","0","986.8000000007451","0","-1","-1","-1","-1",""
"20","http://localhost:8080/","2025-1-6","13:40:23","170","978","984.5999999996275","984.5999999996275","189.90000000037253","0","984.5999999996275","0","-1","-1","-1","-1",""
"21","http://localhost:8080/","2025-1-6","13:40:29","170","982","988.7000000011176","988.7000000011176","189.30000000074506","0","988.7000000011176","0","-1","-1","-1","-1",""
"22","http://localhost:8080/","2025-1-6","13:40:36","170","977","984.4000000003725","984.4000000003725","189.7000000011176","0","984.4000000003725","0","-1","-1","-1","-1",""
"23","http://localhost:8080/","2025-1-6","13:40:42","172","969","974.7999999988824","974.7999999988824","189.59999999962747","0","974.7999999988824","0","-1","-1","-1","-1",""
"24","http://localhost:8080/","2025-1-6","13:40:49","163","958","966.2000000011176","966.2000000011176","182.60000000149012","0","966.2000000011176","0","-1","-1","-1","-1",""
"25","http://localhost:8080/","2025-1-6","13:40:55","163","960","965.4000000003725","965.4000000003725","182.59999999962747","0","965.4000000003725","0","-1","-1","-1","-1",""
"26","http://localhost:8080/","2025-1-6","13:41:02","170","982","980.2999999988824","980.2999999988824","189.2999999988824","0","980.2999999988824","0","-1","-1","-1","-1",""
"27","http://localhost:8080/","2025-1-6","13:41:08","170","965","964.1000000014901","964.1000000014901","189.7000000011176","0","964.1000000014901","0","-1","-1","-1","-1",""
"28","http://localhost:8080/","2025-1-6","13:41:15","162","964","972.7000000011176","972.7000000011176","182.40000000037253","0","972.7000000011176","0","-1","-1","-1","-1",""
"29","http://localhost:8080/","2025-1-6","13:41:21","170","973","980.6000000014901","980.6000000014901","189","0","980.6000000014901","0","-1","-1","-1","-1",""
"30","http://localhost:8080/","2025-1-6","13:41:27","170","952","960.2000000011176","960.2000000011176","189.80000000074506","0","960.2000000011176","0","-1","-1","-1","-1",""
"31","http://localhost:8080/","2025-1-6","13:41:34","170","976","984","984","189.69999999925494","0","984","0","-1","-1","-1","-1",""
"32","http://localhost:8080/","2025-1-6","13:41:40","171","968","975.3000000007451","975.3000000007451","189.7000000011176","0","975.3000000007451","0","-1","-1","-1","-1",""
