idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,nf:init,nf:config,nf:loaded,error
"1","http://localhost:8080/","2025-1-11","14:19:42","337","5883","1409","1359","346.80000000074506","221","5852.699999999255","2","271","1676.699999999255","1914.5999999977648","5868",""
"2","http://localhost:8080/","2025-1-11","14:19:53","180","5571","1126.199999999255","1101.300000000745","205.60000000149012","195","5547.400000002235","2","245","1425.6000000014901","1643.9000000022352","5559.10000000149",""
"3","http://localhost:8080/","2025-1-11","14:20:04","181","5590","1153","1119.699999999255","206.29999999701977","206","5566.699999999255","2","256","1425.7999999970198","1642.7999999970198","5579.599999997765",""
"4","http://localhost:8080/","2025-1-11","14:20:15","174","5578","1124.8999999985099","1091.5","198.19999999925494","197","5554.800000000745","2","247","1416.699999999255","1635.300000000745","5568.89999999851",""
"5","http://localhost:8080/","2025-1-11","14:20:26","173","5547","1132.699999999255","1099.3999999985099","198.69999999925494","195","5524.10000000149","2","245","1411.699999999255","1625.800000000745","5535.60000000149",""
"6","http://localhost:8080/","2025-1-11","14:20:37","173","5558","1098.199999999255","1098.199999999255","198.80000000074506","151","5544.199999999255","3","187","1411.5","1628.6000000014901","5544.699999999255",""
"7","http://localhost:8080/","2025-1-11","14:20:49","172","5587","1131.8999999985099","1098.5999999977648","198.69999999925494","156","5573","3","189","1423.3999999985099","1642.5999999977648","5573.39999999851",""
"8","http://localhost:8080/","2025-1-11","14:21:00","172","5586","1104","1104","197.80000000074506","157","5571.60000000149","3","188","1426.1000000014901","1643.699999999255","5572",""
"9","http://localhost:8080/","2025-1-11","14:21:11","171","5575","1107.9000000022352","1107.9000000022352","199.30000000074506","201","5550.70000000298","2","251","1419.6000000014901","1634.800000000745","5563.10000000149",""
"10","http://localhost:8080/","2025-1-11","14:21:22","181","5584","1130.9000000022352","1105.9000000022352","206","193","5560.300000000745","2","243","1426.4000000022352","1650.7000000029802","5574.20000000298",""
"11","http://localhost:8080/","2025-1-11","14:21:33","171","5582","1137.699999999255","1104.3999999985099","199.5","197","5555.5","2","247","1419.2999999970198","1635.7999999970198","5569.599999997765",""
"12","http://localhost:8080/","2025-1-11","14:21:44","173","5569","1116.300000000745","1107.8999999985099","198.80000000074506","160","5551.300000000745","3","190","1418.699999999255","1634.300000000745","5552.099999997765",""
"13","http://localhost:8080/","2025-1-11","14:21:55","174","5581","1126.800000000745","1101.699999999255","198.69999999925494","153","5565.199999999255","3","187","1418.300000000745","1634.6000000014901","5565.60000000149",""
"14","http://localhost:8080/","2025-1-11","14:22:06","172","5561","1138.1000000014901","1104.800000000745","199.39999999850988","148","5545.39999999851","3","185","1417.5","1637","5546.10000000149",""
"15","http://localhost:8080/","2025-1-11","14:22:17","180","5581","1124.3999999985099","1091.0999999977648","205.09999999776483","196","5555","2","246","1419.0999999977648","1643","5567.39999999851",""
"16","http://localhost:8080/","2025-1-11","14:22:29","171","5580","1137.3999999985099","1104.0999999977648","199.29999999701977","194","5556.599999997765","2","244","1416.5","1634.699999999255","5567.5",""
"17","http://localhost:8080/","2025-1-11","14:22:40","181","5571","1142.0999999977648","1117","206.19999999925494","194","5547.199999999255","2","244","1424.300000000745","1641.300000000745","5559.699999999255",""
"18","http://localhost:8080/","2025-1-11","14:22:51","174","5583","1124.4000000022352","1099.300000000745","198.60000000149012","199","5556.400000002235","2","249","1417.4000000022352","1633.4000000022352","5567.699999999255",""
"19","http://localhost:8080/","2025-1-11","14:23:02","172","5549","1124.5","1091.199999999255","199.09999999776483","156","5534.39999999851","3","192","1405.8999999985099","1620.300000000745","5535.300000000745",""
"20","http://localhost:8080/","2025-1-11","14:23:13","172","5576","1120.699999999255","1095.6000000014901","199.39999999850988","163","5558.800000000745","3","191","1419","1642.1000000014901","5559",""
"21","http://localhost:8080/","2025-1-11","14:23:24","181","5557","1106.1000000014901","1106.1000000014901","206.20000000298023","200","5531.10000000149","2","250","1417.7000000029802","1635.1000000014901","5543.400000002235",""
"22","http://localhost:8080/","2025-1-11","14:23:35","173","5569","1133","1108","199.19999999925494","200","5546.599999997765","2","250","1418","1634.5","5560.099999997765",""
"23","http://localhost:8080/","2025-1-11","14:23:46","174","5613","1149.7000000029802","1108","199.30000000074506","208","5587.5","2","258","1429.1000000014901","1650.7000000029802","5600.10000000149",""
"24","http://localhost:8080/","2025-1-11","14:23:57","174","5567","1133.5","1108.6000000014901","199.19999999925494","150","5549.300000000745","3","187","1417.5","1635.1000000014901","5549.800000000745",""
"25","http://localhost:8080/","2025-1-11","14:24:08","173","5556","1114.6000000014901","1089.7000000029802","198.60000000149012","155","5540.20000000298","3","188","1411.7000000029802","1629.1000000014901","5540.800000000745",""
"26","http://localhost:8080/","2025-1-11","14:24:20","173","5560","1128.199999999255","1094.7999999970198","199.09999999776483","196","5536.29999999702","2","246","1412.2999999970198","1626.5999999977648","5549.199999999255",""
"27","http://localhost:8080/","2025-1-11","14:24:31","172","5558","1104.199999999255","1104.199999999255","199.39999999850988","154","5542.800000000745","3","186","1413.199999999255","1627.6000000014901","5541",""
"28","http://localhost:8080/","2025-1-11","14:24:42","174","5562","1123.300000000745","1090","198.90000000223517","194","5536.5","2","244","1411.5","1626.6000000014901","5548.5",""
"29","http://localhost:8080/","2025-1-11","14:24:53","181","5584","1101","1101","205.30000000074506","154","5567.300000000745","3","190","1427.199999999255","1642.699999999255","5567.60000000149",""
"30","http://localhost:8080/","2025-1-11","14:25:04","181","5583","1092.699999999255","1092.699999999255","205.29999999701977","197","5557.199999999255","2","247","1417.5","1635","5569.099999997765",""
"31","http://localhost:8080/","2025-1-11","14:25:15","181","5579","1109","1109","205.89999999850988","196","5556.199999999255","2","246","1432.6000000014901","1658","5568.699999999255",""
"32","http://localhost:8080/","2025-1-11","14:25:26","181","5578","1108.699999999255","1108.699999999255","206.5","195","5555.39999999851","2","245","1431.5","1646.7999999970198","5567.5",""
"33","http://localhost:8080/","2025-1-11","14:25:37","180","5572","1101.4000000022352","1101.4000000022352","205.69999999925494","151","5554.900000002235","3","185","1427.300000000745","1641.300000000745","5555.10000000149",""
"34","http://localhost:8080/","2025-1-11","14:25:48","173","5573","1123.699999999255","1098.5999999977648","198.80000000074506","198","5548.599999997765","2","248","1419.300000000745","1634.699999999255","5559.89999999851",""
"35","http://localhost:8080/","2025-1-11","14:26:00","182","5580","1151.699999999255","1118.2999999970198","206","200","5556.199999999255","2","250","1424.3999999985099","1643.5","5566.699999999255",""
"36","http://localhost:8080/","2025-1-11","14:26:11","173","5573","1135.2000000029802","1101.800000000745","197.80000000074506","198","5551.70000000298","2","248","1416.5","1636.1000000014901","5563.300000000745",""
"37","http://localhost:8080/","2025-1-11","14:26:22","172","5574","1119.5","1086.199999999255","198.80000000074506","198","5548.60000000149","2","248","1413","1629.699999999255","5562.300000000745",""
"38","http://localhost:8080/","2025-1-11","14:26:33","173","5559","1131.5","1098.199999999255","198.80000000074506","163","5543.5","3","194","1412.300000000745","1628","5542.89999999851",""
"39","http://localhost:8080/","2025-1-11","14:26:44","173","5555","1094.199999999255","1094.199999999255","198.39999999850988","197","5530.39999999851","2","247","1417.300000000745","1635.699999999255","5543.10000000149",""
"40","http://localhost:8080/","2025-1-11","14:26:55","174","5563","1095.2000000029802","1086.9000000022352","197.80000000074506","153","5546.900000002235","3","188","1412.800000000745","1627","5547.10000000149",""
"41","http://localhost:8080/","2025-1-11","14:27:06","181","5569","1151.199999999255","1117.800000000745","205.59999999776483","157","5551.5","3","190","1424.5999999977648","1642.199999999255","5551.89999999851",""
"42","http://localhost:8080/","2025-1-11","14:27:17","173","5573","1123","1089.699999999255","198.09999999776483","155","5555.199999999255","3","187","1420.0999999977648","1641.2999999970198","5555.29999999702",""
"43","http://localhost:8080/","2025-1-11","14:27:28","181","5581","1126.199999999255","1101.199999999255","205.5","198","5554.79999999702","2","248","1423.5999999977648","1642","5567.099999997765",""
"44","http://localhost:8080/","2025-1-11","14:27:39","173","5563","1119.699999999255","1086.3999999985099","199","155","5547.39999999851","3","189","1412.199999999255","1629.300000000745","5547.39999999851",""
"45","http://localhost:8080/","2025-1-11","14:27:50","180","5592","1100.199999999255","1100.199999999255","205.5","195","5564.60000000149","2","245","1426.6000000014901","1642.199999999255","5577.900000002235",""
"46","http://localhost:8080/","2025-1-11","14:28:02","173","5557","1123.300000000745","1090","198.40000000223517","202","5531.400000002235","2","252","1411.2000000029802","1627.800000000745","5545.70000000298",""
"47","http://localhost:8080/","2025-1-11","14:28:13","173","5568","1136.5999999977648","1103.199999999255","199.19999999925494","197","5541.79999999702","2","247","1407.199999999255","1628.0999999977648","5555.39999999851",""
"48","http://localhost:8080/","2025-1-11","14:28:24","173","5579","1094","1094","198.89999999850988","160","5565","3","195","1420.199999999255","1635.800000000745","5565.60000000149",""
"49","http://localhost:8080/","2025-1-11","14:28:35","180","5567","1121.5","1096.5","205","153","5549.39999999851","3","187","1415.0999999977648","1633.8999999985099","5550.300000000745",""
"50","http://localhost:8080/","2025-1-11","14:28:46","171","5560","1135.3999999985099","1102.0999999977648","198.39999999850988","194","5533.599999997765","2","244","1419.5","1635.8999999985099","5546.29999999702",""
"51","http://localhost:8080/","2025-1-11","14:28:57","180","5579","1112.1000000014901","1112.1000000014901","206.40000000223517","189","5551.20000000298","2","239","1422.9000000022352","1647.9000000022352","5564.60000000149",""
"52","http://localhost:8080/","2025-1-11","14:29:08","181","5592","1141","1116","206.19999999925494","194","5566.89999999851","2","244","1426.5999999977648","1650.5","5580.89999999851",""
"53","http://localhost:8080/","2025-1-11","14:29:19","181","5595","1118.5999999977648","1118.5999999977648","206.19999999925494","193","5572","2","243","1426.5999999977648","1647.5","5584.599999997765",""
"54","http://localhost:8080/","2025-1-11","14:29:30","181","5605","1131.8999999985099","1107","207.09999999776483","199","5578.39999999851","2","249","1431.0999999977648","1658.7999999970198","5591.199999999255",""
"55","http://localhost:8080/","2025-1-11","14:29:42","180","5611","1137.5","1112.5","206.90000000223517","195","5583.10000000149","2","245","1433.5","1656","5596.400000002235",""
"56","http://localhost:8080/","2025-1-11","14:29:53","181","5580","1135.300000000745","1102","206.30000000074506","195","5554.60000000149","2","245","1428.3999999985099","1648.800000000745","5568.5",""
"57","http://localhost:8080/","2025-1-11","14:30:04","178","5592","1134.6000000014901","1109.699999999255","205.60000000149012","152","5577.699999999255","3","186","1434.800000000745","1659.199999999255","5577.800000000745",""
"58","http://localhost:8080/","2025-1-11","14:30:15","181","5590","1155.8999999985099","1122.5999999977648","206","190","5563.39999999851","2","240","1439.300000000745","1665.3999999985099","5575.5",""
