idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,nf:init,nf:config,nf:loaded,error
"1","http://localhost:8080/","2025-1-3","14:50:41","295","4070","1219.8999999985099","1219.8999999985099","318.69999999925494","195","4054.199999999255","3","188","1532.300000000745","1705.5","4054.599999997765",""
"2","http://localhost:8080/","2025-1-3","14:50:51","181","3947","1094.199999999255","1094.199999999255","205.89999999850988","188","3930.60000000149","3","180","1417.300000000745","1592.699999999255","3931.199999999255",""
"3","http://localhost:8080/","2025-1-3","14:51:00","180","3956","1101.2999999970198","1101.2999999970198","205.5","188","3940.099999997765","3","182","1425.0999999977648","1598","3940.2999999970198",""
"4","http://localhost:8080/","2025-1-3","14:51:10","172","3944","1087.6000000014901","1087.6000000014901","199.30000000074506","186","3931.10000000149","3","179","1413.1000000014901","1591.5","3932",""
"5","http://localhost:8080/","2025-1-3","14:51:19","174","3951","1090.6000000014901","1090.6000000014901","199","181","3933","3","179","1410.4000000022352","1582.1000000014901","3933.2000000029802",""
"6","http://localhost:8080/","2025-1-3","14:51:29","173","3963","1100.300000000745","1100.300000000745","199.19999999925494","192","3948.699999999255","3","182","1426.3999999985099","1597.1000000014901","3949.39999999851",""
"7","http://localhost:8080/","2025-1-3","14:51:38","174","3962","1087.3999999985099","1087.3999999985099","198.39999999850988","190","3946.60000000149","3","183","1415.8999999985099","1592.3999999985099","3947.39999999851",""
"8","http://localhost:8080/","2025-1-3","14:51:47","182","3963","1100.699999999255","1100.699999999255","206","187","3944.900000002235","3","180","1427.1000000014901","1598.1000000014901","3945.699999999255",""
"9","http://localhost:8080/","2025-1-3","14:51:57","181","3973","1101","1101","205.30000000074506","187","3957.10000000149","3","178","1424.699999999255","1597","3957.800000000745",""
"10","http://localhost:8080/","2025-1-3","14:52:06","173","3946","1091.5999999977648","1091.5999999977648","198.59999999776483","187","3933.2999999970198","3","179","1410.199999999255","1584.5999999977648","3933.5",""
"11","http://localhost:8080/","2025-1-3","14:52:16","171","3950","1086.5","1086.5","199","188","3934.400000002235","3","182","1408.2000000029802","1584.800000000745","3935",""
"12","http://localhost:8080/","2025-1-3","14:52:25","173","3953","1099.6000000014901","1099.6000000014901","199.20000000298023","184","3939","3","178","1418.5","1589.9000000022352","3939.300000000745",""
"13","http://localhost:8080/","2025-1-3","14:52:35","172","3971","1094.0999999977648","1094.0999999977648","198.29999999701977","184","3957.2999999970198","3","179","1421.7999999970198","1600.199999999255","3957.699999999255",""
"14","http://localhost:8080/","2025-1-3","14:52:44","171","3959","1101.699999999255","1101.699999999255","198.19999999925494","181","3943.39999999851","3","175","1424.8999999985099","1598.699999999255","3943.89999999851",""
"15","http://localhost:8080/","2025-1-3","14:52:54","173","3958","1086.5","1086.5","199","195","3943.199999999255","3","181","1412.300000000745","1583.199999999255","3943.800000000745",""
