idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,nf:init,nf:config,nf:loaded,error
"1","http://localhost:8080/","2025-1-3","13:15:47","170","3462","1021.8999999985099","1021.8999999985099","203.19999999925494","19","3453.300000000745","1","69","1315.0999999977648","1477.8999999985099","3601.300000000745",""
"2","http://localhost:8080/","2025-1-3","13:15:56","172","3488","1034.699999999255","1034.699999999255","205.29999999701977","20","3479.7999999970198","1","70","1330.0999999977648","1493.199999999255","3615.7999999970198",""
"3","http://localhost:8080/","2025-1-3","13:16:05","163","3479","1021.1999999992549","1021.1999999992549","196.89999999850988","20","3471.2999999970198","1","70","1315.0999999977648","1479.3999999985099","3608",""
"4","http://localhost:8080/","2025-1-3","13:16:14","171","3477","1029.5","1029.5","204.60000000149012","20","3470.60000000149","1","70","1315.3999999985099","1478.6000000014901","3607.300000000745",""
"5","http://localhost:8080/","2025-1-3","13:16:23","171","3471","1018.1999999992549","1018.1999999992549","204.5","18","3464.300000000745","1","68","1311.1000000014901","1479.800000000745","3601.5",""
"6","http://localhost:8080/","2025-1-3","13:16:32","164","3437","1007.0999999977648","1007.0999999977648","199","17","3431.5","1","67","1294.8999999985099","1459.300000000745","3579.39999999851",""
"7","http://localhost:8080/","2025-1-3","13:16:40","163","3455","1008.3000000007451","1008.3000000007451","196.90000000223517","18","3447.199999999255","1","68","1300.9000000022352","1465.5","3593.199999999255",""
"8","http://localhost:8080/","2025-1-3","13:16:49","163","3454","1006.8000000007451","1006.8000000007451","197.10000000149012","19","3447.60000000149","1","69","1301.199999999255","1464.300000000745","3594.199999999255",""
"9","http://localhost:8080/","2025-1-3","13:16:58","172","3469","1025","1025","204.30000000074506","19","3461.5","1","69","1315.300000000745","1480.300000000745","3609.300000000745",""
"10","http://localhost:8080/","2025-1-3","13:17:07","170","3459","1022.1000000014901","1022.1000000014901","204.10000000149012","18","3451.400000002235","1","68","1314.9000000022352","1479","3603.300000000745",""
"11","http://localhost:8080/","2025-1-3","13:17:16","171","3471","1024.2999999970198","1024.2999999970198","204.09999999776483","19","3464.39999999851","1","69","1323.5","1487.7999999970198","3613.699999999255",""
"12","http://localhost:8080/","2025-1-3","13:17:25","170","3463","1014","1014","204.60000000149012","19","3456.60000000149","1","69","1309.5","1480","3600.900000002235",""
"13","http://localhost:8080/","2025-1-3","13:17:34","163","3460","1007.5999999977648","1007.5999999977648","198","17","3452.699999999255","1","67","1302.3999999985099","1465.699999999255","3596.300000000745",""
"14","http://localhost:8080/","2025-1-3","13:17:43","162","3462","1010.1000000014901","1010.1000000014901","197.69999999925494","18","3453.699999999255","1","68","1302.300000000745","1473.4000000022352","3595.10000000149",""
"15","http://localhost:8080/","2025-1-3","13:17:52","171","3480","1025.699999999255","1025.699999999255","205","19","3472.199999999255","1","69","1316.5","1479.699999999255","3609.699999999255",""
"16","http://localhost:8080/","2025-1-3","13:18:01","163","3465","1010.1999999992549","1010.1999999992549","197.69999999925494","19","3457.800000000745","1","69","1301.6000000014901","1465.800000000745","3594.60000000149",""
"17","http://localhost:8080/","2025-1-3","13:18:10","171","3466","1015.8000000007451","1015.8000000007451","206","17","3459","1","67","1304.4000000022352","1474.199999999255","3595.10000000149",""
"18","http://localhost:8080/","2025-1-3","13:18:19","171","3473","1017.1999999992549","1017.1999999992549","204.79999999701977","22","3465.5","1","72","1309.0999999977648","1472.8999999985099","3602.7999999970198",""
"19","http://localhost:8080/","2025-1-3","13:18:28","171","3464","1019.5999999977648","1019.5999999977648","204.5","18","3456.099999997765","1","68","1314.8999999985099","1480.3999999985099","3603.39999999851",""
"20","http://localhost:8080/","2025-1-3","13:18:37","164","3461","1023.2000000029802","1023.2000000029802","198.30000000074506","19","3454.2000000029802","1","69","1308.800000000745","1472.800000000745","3602.300000000745",""
"21","http://localhost:8080/","2025-1-3","13:18:46","162","3455","1010.1999999992549","1010.1999999992549","197.89999999850988","20","3448.199999999255","1","70","1301.800000000745","1465.3999999985099","3595.300000000745",""
"22","http://localhost:8080/","2025-1-3","13:18:55","162","3474","1022.7000000029802","1022.7000000029802","197.80000000074506","17","3467.400000002235","1","67","1322.9000000022352","1487.4000000022352","3608.400000002235",""
"23","http://localhost:8080/","2025-1-3","13:19:04","170","3466","1014.1000000014901","1014.1000000014901","204.30000000074506","19","3457.699999999255","1","69","1308.300000000745","1471.300000000745","3600.400000002235",""
"24","http://localhost:8080/","2025-1-3","13:19:13","169","3473","1014","1014","204.80000000074506","18","3465.7000000029802","1","68","1307.300000000745","1472.2000000029802","3602.300000000745",""
"25","http://localhost:8080/","2025-1-3","13:19:22","172","3477","1016.8000000007451","1016.8000000007451","205.19999999925494","18","3469.300000000745","1","68","1309.5","1473.1000000014901","3609.800000000745",""
"26","http://localhost:8080/","2025-1-3","13:19:31","171","3485","1030.8999999985099","1030.8999999985099","204.30000000074506","19","3477.5","1","69","1329.800000000745","1492.800000000745","3615.39999999851",""
"27","http://localhost:8080/","2025-1-3","13:19:40","163","3458","1006.0999999977648","1006.0999999977648","196.69999999925494","19","3450.099999997765","1","69","1301.5","1464.3999999985099","3595",""
"28","http://localhost:8080/","2025-1-3","13:19:49","171","3468","1021.1000000014901","1021.1000000014901","204.5","19","3461.699999999255","1","69","1309.800000000745","1479.6000000014901","3602",""
"29","http://localhost:8080/","2025-1-3","13:19:58","171","3472","1021.6000000014901","1021.6000000014901","205","20","3464.400000002235","1","70","1308.7000000029802","1472.5","3604.2000000029802",""
"30","http://localhost:8080/","2025-1-3","13:20:07","164","3464","1012.9000000022352","1012.9000000022352","197.80000000074506","18","3456.800000000745","1","68","1302.5","1465.1000000014901","3631",""
"31","http://localhost:8080/","2025-1-3","13:20:16","172","3488","1025.300000000745","1025.300000000745","204.5","20","3481.60000000149","1","70","1324.6000000014901","1495","3617",""
"32","http://localhost:8080/","2025-1-3","13:20:25","171","3478","1026.5","1026.5","204.30000000074506","20","3470.900000002235","1","70","1316.5","1479.4000000022352","3611.900000002235",""
"33","http://localhost:8080/","2025-1-3","13:20:34","172","3473","1017.5999999977648","1017.5999999977648","205.30000000074506","20","3467.099999997765","1","70","1308","1472.800000000745","3601.300000000745",""
"34","http://localhost:8080/","2025-1-3","13:20:43","171","3470","1018.1999999992549","1018.1999999992549","205.90000000223517","19","3465.10000000149","1","69","1308.5","1474.1000000014901","3601.10000000149",""
"35","http://localhost:8080/","2025-1-3","13:20:52","163","3460","1010.5999999977648","1010.5999999977648","198.19999999925494","19","3453.599999997765","1","69","1308.3999999985099","1472.699999999255","3597",""
"36","http://localhost:8080/","2025-1-3","13:21:00","172","3478","1034.0999999977648","1034.0999999977648","205.09999999776483","18","3469.599999997765","1","68","1323.7999999970198","1487.3999999985099","3608.89999999851",""
"37","http://localhost:8080/","2025-1-3","13:21:09","163","3463","1007.8999999985099","1007.8999999985099","197.79999999701977","19","3456","1","69","1301.699999999255","1465.0999999977648","3596.599999997765",""
"38","http://localhost:8080/","2025-1-3","13:21:18","170","3480","1030.300000000745","1030.300000000745","203.30000000074506","19","3474.60000000149","1","69","1328.4000000022352","1493.1000000014901","3614.5",""
"39","http://localhost:8080/","2025-1-3","13:21:27","172","3469","1029.199999999255","1029.199999999255","204.39999999850988","18","3461","1","68","1315.0999999977648","1479.699999999255","3610",""
"40","http://localhost:8080/","2025-1-3","13:21:36","163","3474","1019.6000000014901","1019.6000000014901","197","19","3468.5","1","69","1307.6000000014901","1472.4000000022352","3608.60000000149",""
"41","http://localhost:8080/","2025-1-3","13:21:45","170","3467","1013","1013","204.80000000074506","22","3460.800000000745","1","72","1309.0999999977648","1471.8999999985099","3603.099999997765",""
"42","http://localhost:8080/","2025-1-3","13:21:54","164","3472","1019","1019","198.29999999701977","18","3465.89999999851","1","68","1308.5","1473.0999999977648","3605",""
"43","http://localhost:8080/","2025-1-3","13:22:03","170","3461","1014.3999999985099","1014.3999999985099","203.39999999850988","19","3452.39999999851","1","69","1307.699999999255","1470.8999999985099","3594.199999999255",""
"44","http://localhost:8080/","2025-1-3","13:22:12","171","3466","1015.8000000007451","1015.8000000007451","204.60000000149012","18","3457.89999999851","1","68","1302","1464.8999999985099","3595.39999999851",""
"45","http://localhost:8080/","2025-1-3","13:22:21","171","3473","1028.699999999255","1028.699999999255","205.29999999701977","16","3466.89999999851","1","66","1323","1486.3999999985099","3611.199999999255",""
"46","http://localhost:8080/","2025-1-3","13:22:30","170","3469","1022.0999999977648","1022.0999999977648","203.59999999776483","19","3462","1","69","1322.0999999977648","1487.199999999255","3607.699999999255",""
"47","http://localhost:8080/","2025-1-3","13:22:39","162","3460","1010.5","1010.5","198.19999999925494","19","3454.39999999851","1","69","1302.0999999977648","1465.5999999977648","3598.300000000745",""
"48","http://localhost:8080/","2025-1-3","13:22:48","173","3480","1017.0999999977648","1017.0999999977648","204.69999999925494","19","3471.699999999255","1","69","1318.0999999977648","1486.699999999255","3609",""
"49","http://localhost:8080/","2025-1-3","13:22:57","170","3461","1020.1999999992549","1020.1999999992549","205.5","19","3454.10000000149","1","69","1309.699999999255","1472.300000000745","3596.699999999255",""
"50","http://localhost:8080/","2025-1-3","13:23:06","170","3471","1017","1017","204.59999999776483","20","3464.099999997765","1","70","1315.5","1481.300000000745","3602.5",""
"51","http://localhost:8080/","2025-1-3","13:23:15","163","3468","1018.9000000022352","1018.9000000022352","198.20000000298023","19","3460.2000000029802","1","69","1316.2000000029802","1479.6000000014901","3602.5",""
"52","http://localhost:8080/","2025-1-3","13:23:24","170","3472","1014.6999999992549","1014.6999999992549","203.40000000223517","19","3464.199999999255","1","69","1308.199999999255","1472.5","3602.300000000745",""
"53","http://localhost:8080/","2025-1-3","13:23:33","171","3471","1013.9000000022352","1013.9000000022352","205.30000000074506","18","3463.699999999255","1","68","1311.6000000014901","1479.6000000014901","3601.699999999255",""
"54","http://localhost:8080/","2025-1-3","13:23:42","164","3465","1017.1999999992549","1017.1999999992549","199.5","21","3458.199999999255","1","71","1310.5","1482.3999999985099","3602.7999999970198",""
"55","http://localhost:8080/","2025-1-3","13:23:51","170","3471","1021.7000000029802","1021.7000000029802","202.60000000149012","18","3462.900000002235","1","68","1314.7000000029802","1478","3597.2000000029802",""
"56","http://localhost:8080/","2025-1-3","13:24:00","170","3466","1014.1000000014901","1014.1000000014901","204.60000000149012","18","3456","1","68","1308.2000000029802","1471.800000000745","3602.7000000029802",""
"57","http://localhost:8080/","2025-1-3","13:24:09","163","3472","1018.5","1018.5","197.80000000074506","19","3465.199999999255","1","69","1308.300000000745","1472.5","3602.5",""
"58","http://localhost:8080/","2025-1-3","13:24:18","170","3488","1030.3999999985099","1030.3999999985099","205.5","22","3480.699999999255","1","72","1324.3999999985099","1495.199999999255","3620.099999997765",""
"59","http://localhost:8080/","2025-1-3","13:24:26","172","3463","1016.5","1016.5","205.19999999925494","20","3456","1","70","1308.5999999977648","1473","3598.699999999255",""
"60","http://localhost:8080/","2025-1-3","13:24:35","170","3478","1029.7000000029802","1029.7000000029802","204.80000000074506","20","3471.10000000149","1","70","1322.9000000022352","1487.4000000022352","3609.2000000029802",""
