idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,nf:init,nf:config,nf:loaded,error
"1","http://localhost:8080/","2025-1-3","06:02:33","315","429","425.9000000000233","425.9000000000233","324.4000000000233","0","425.9000000000233","0","-1","401.29999999998836","409.70000000001164","487.6000000000349",""
"2","http://localhost:8080/","2025-1-3","06:02:39","57","171","175.10000000003492","175.10000000003492","53","0","175.10000000003492","0","-1","142.30000000004657","159.90000000002328","226.60000000003492",""
"3","http://localhost:8080/","2025-1-3","06:02:45","41","136","123.19999999995343","123.19999999995343","36.699999999953434","0","123.19999999995343","0","-1","94.89999999996508","102.29999999998836","167.89999999996508",""
"4","http://localhost:8080/","2025-1-3","06:02:51","34","120","112.5","112.5","29.70000000001164","0","112.5","0","-1","81.80000000004657","88.80000000004657","144.60000000003492",""
"5","http://localhost:8080/","2025-1-3","06:02:56","40","143","113.29999999998836","113.29999999998836","34.5","0","113.29999999998836","0","-1","86.20000000001164","92.39999999996508","147.70000000001164",""
"6","http://localhost:8080/","2025-1-3","06:03:02","32","141","105.30000000004657","105.30000000004657","26.900000000023283","0","105.30000000004657","0","-1","77.20000000001164","84","140",""
"7","http://localhost:8080/","2025-1-3","06:03:07","33","141","113","113","28.099999999976717","0","113","0","-1","78.09999999997672","85.20000000001164","138.79999999998836",""
"8","http://localhost:8080/","2025-1-3","06:03:13","29","135","100.40000000002328","100.40000000002328","23.20000000001164","0","100.40000000002328","0","-1","72.30000000004657","77","132.70000000001164",""
"9","http://localhost:8080/","2025-1-3","06:03:19","34","136","104.29999999998836","104.29999999998836","29","0","104.29999999998836","0","-1","77.10000000003492","82.20000000001164","138.79999999998836",""
"10","http://localhost:8080/","2025-1-3","06:03:24","31","135","109","109","25.900000000023283","0","109","0","-1","74.59999999997672","81.5","138.20000000001164",""
"11","http://localhost:8080/","2025-1-3","06:03:30","29","132","100.5","100.5","23.400000000023283","0","100.5","0","-1","70.29999999998836","77.5","134.40000000002328",""
"12","http://localhost:8080/","2025-1-3","06:03:36","29","110","102.39999999996508","102.39999999996508","24.099999999976717","0","102.39999999996508","0","-1","72.79999999998836","79.09999999997672","136.09999999997672",""
"13","http://localhost:8080/","2025-1-3","06:03:41","29","133","103","103","23.79999999998836","0","103","0","-1","73.20000000001164","78.90000000002328","136.90000000002328",""
"14","http://localhost:8080/","2025-1-3","06:03:47","28","111","105.29999999998836","105.29999999998836","23.900000000023283","0","105.29999999998836","0","-1","73.59999999997672","80.40000000002328","136.20000000001164",""
"15","http://localhost:8080/","2025-1-3","06:03:53","24","107","102.39999999996508","102.39999999996508","19.599999999976717","0","102.39999999996508","0","-1","71.29999999998836","78.29999999998836","132.09999999997672",""
