idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,nf:init,nf:config,nf:loaded,error
"1","http://localhost:8080/home/","2025-1-8","18:54:21","237","6177","1124.0999999940395","515.7999999970198","275.5","209","6155.29999999702","3","199","-1","-1","-1",""
"2","http://localhost:8080/home/","2025-1-8","18:54:32","174","6021","1102.2000000029802","343.90000000596046","218.90000000596046","173","6003.5","3","166","-1","-1","-1",""
"3","http://localhost:8080/home/","2025-1-8","18:54:44","182","6027","1072.2999999970198","347.29999999701977","227.29999999701977","172","6009","3","166","-1","-1","-1",""
"4","http://localhost:8080/home/","2025-1-8","18:54:56","180","6034","997.6999999955297","306","226.39999999850988","176","6015.79999999702","3","171","-1","-1","-1",""
"5","http://localhost:8080/home/","2025-1-8","18:55:07","180","6019","1089.2999999970198","347.69999999552965","226","176","6003.29999999702","3","172","-1","-1","-1",""
"6","http://localhost:8080/home/","2025-1-8","18:55:19","181","6028","992.7000000029802","301","226.30000000447035","175","6009","3","173","-1","-1","-1",""
"7","http://localhost:8080/home/","2025-1-8","18:55:30","179","6049","1092.8999999985099","351.20000000298023","226.39999999850988","176","6028.60000000149","3","169","-1","-1","-1",""
"8","http://localhost:8080/home/","2025-1-8","18:55:42","182","6001","1089.3999999985099","339.3999999985099","226.60000000149012","169","5981.79999999702","3","168","-1","-1","-1",""
"9","http://localhost:8080/home/","2025-1-8","18:55:53","181","6035","1093","359.70000000298023","227","174","6017.89999999851","3","170","-1","-1","-1",""
"10","http://localhost:8080/home/","2025-1-8","18:56:05","174","6018","1065.0999999940395","340.19999999552965","219.39999999850988","176","6000.79999999702","3","168","-1","-1","-1",""
"11","http://localhost:8080/home/","2025-1-8","18:56:16","173","6017","1053.2000000029802","336.5","219.20000000298023","173","5998.10000000149","3","166","-1","-1","-1",""
"12","http://localhost:8080/home/","2025-1-8","18:56:28","172","6024","1008","299.70000000298023","218.80000000447035","169","6008.30000000447","3","164","-1","-1","-1",""
"13","http://localhost:8080/home/","2025-1-8","18:56:39","181","6033","1099","357.29999999701977","226.89999999850988","172","6015.0999999940395","3","164","-1","-1","-1",""
"14","http://localhost:8080/home/","2025-1-8","18:56:51","172","6022","1066.7999999970198","350.20000000298023","220","171","6004","3","169","-1","-1","-1",""
"15","http://localhost:8080/home/","2025-1-8","18:57:02","179","6033","1074.1000000014901","357.5","226.70000000298023","182","6017.39999999851","3","173","-1","-1","-1",""
