idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,nf:init,nf:config,nf:loaded,error
"1","http://localhost:8080/home/","2025-1-8","12:52:12","308","1725","1145.699999999255","395.69999999925494","361","22","1714.800000000745","1","72","-1","-1","-1",""
"2","http://localhost:8080/home/","2025-1-8","12:52:20","170","1574","1045.699999999255","262.30000000074506","225","16","1567.3999999985099","1","66","-1","-1","-1",""
"3","http://localhost:8080/home/","2025-1-8","12:52:27","172","1575","1041.300000000745","258","225.09999999776483","15","1567.3999999985099","1","65","-1","-1","-1",""
"4","http://localhost:8080/home/","2025-1-8","12:52:34","170","1574","1038","254.69999999925494","225.30000000074506","15","1565.6000000014901","1","65","-1","-1","-1",""
"5","http://localhost:8080/home/","2025-1-8","12:52:41","163","1567","1031.1000000014901","247.80000000074506","217.90000000223517","15","1559.7000000029802","1","65","-1","-1","-1",""
"6","http://localhost:8080/home/","2025-1-8","12:52:48","163","1565","1032.699999999255","249.30000000074506","218.19999999925494","15","1559.199999999255","1","65","-1","-1","-1",""
"7","http://localhost:8080/home/","2025-1-8","12:52:55","170","1572","1042.5","259.19999999925494","225.19999999925494","15","1565.5999999977648","1","65","-1","-1","-1",""
"8","http://localhost:8080/home/","2025-1-8","12:53:02","163","1566","1039.3999999985099","256","218.09999999776483","14","1558.0999999977648","1","64","-1","-1","-1",""
"9","http://localhost:8080/home/","2025-1-8","12:53:09","171","1575","1040.3999999985099","257.0999999977648","225.5","16","1567.199999999255","1","66","-1","-1","-1",""
"10","http://localhost:8080/home/","2025-1-8","12:53:16","172","1569","1028.4000000022352","261.80000000074506","225","17","1561.800000000745","1","67","-1","-1","-1",""
"11","http://localhost:8080/home/","2025-1-8","12:53:23","172","1573","1041.300000000745","257.8999999985099","225.30000000074506","15","1566.3999999985099","1","65","-1","-1","-1",""
"12","http://localhost:8080/home/","2025-1-8","12:53:30","173","1567","1013.0999999977648","263.0999999977648","226.19999999925494","16","1560.699999999255","1","66","-1","-1","-1",""
"13","http://localhost:8080/home/","2025-1-8","12:53:37","163","1568","1035.699999999255","252.40000000223517","218.30000000074506","15","1558.1000000014901","1","65","-1","-1","-1",""
"14","http://localhost:8080/home/","2025-1-8","12:53:45","163","1566","1027.4000000022352","252.40000000223517","218.10000000149012","15","1559.7000000029802","1","65","-1","-1","-1",""
"15","http://localhost:8080/home/","2025-1-8","12:53:52","171","1573","1045.0999999977648","261.69999999925494","225.09999999776483","14","1565.8999999985099","1","64","-1","-1","-1",""
"16","http://localhost:8080/home/","2025-1-8","12:53:59","163","1566","1039.3999999985099","247.69999999925494","218.5","16","1559.3999999985099","1","66","-1","-1","-1",""
"17","http://localhost:8080/home/","2025-1-8","12:54:06","170","1574","1039.3999999985099","256.19999999925494","225.80000000074506","15","1565.5","1","65","-1","-1","-1",""
"18","http://localhost:8080/home/","2025-1-8","12:54:13","171","1565","1036.9000000022352","253.5","226.30000000074506","15","1558.2000000029802","1","65","-1","-1","-1",""
"19","http://localhost:8080/home/","2025-1-8","12:54:20","171","1575","1029.8999999985099","254.80000000074506","225.69999999925494","15","1566.800000000745","1","65","-1","-1","-1",""
"20","http://localhost:8080/home/","2025-1-8","12:54:27","170","1573","1041.5","258.20000000298023","224.90000000223517","17","1567.6000000014901","1","67","-1","-1","-1",""
"21","http://localhost:8080/home/","2025-1-8","12:54:34","171","1574","1042.7999999970198","259.5","225.39999999850988","15","1567.199999999255","1","65","-1","-1","-1",""
"22","http://localhost:8080/home/","2025-1-8","12:54:41","172","1573","1041.699999999255","258.29999999701977","225.5","16","1567.2999999970198","1","66","-1","-1","-1",""
