idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,nf:init,nf:config,nf:loaded,error
"1","http://localhost:8080/home/","2025-1-8","09:35:16","222","300","305.2999999988824","280.2999999988824","212.59999999962747","0","280.2999999988824","0","-1","-1","-1","-1",""
"2","http://localhost:8080/home/","2025-1-8","09:35:22","55","105","109.5","101.20000000111759","48.40000000037253","0","101.20000000111759","0","-1","-1","-1","-1",""
"3","http://localhost:8080/home/","2025-1-8","09:35:28","70","126","126.20000000111759","109.60000000149012","48.80000000074506","0","109.60000000149012","0","-1","-1","-1","-1",""
"4","http://localhost:8080/home/","2025-1-8","09:35:34","40","95","99.69999999925494","83","34","0","83","0","-1","-1","-1","-1",""
"5","http://localhost:8080/home/","2025-1-8","09:35:39","46","92","101.40000000037253","93.09999999962747","38.5","0","93.09999999962747","0","-1","-1","-1","-1",""
"6","http://localhost:8080/home/","2025-1-8","09:35:45","52","109","112.30000000074506","95.70000000111759","42.40000000037253","0","95.70000000111759","0","-1","-1","-1","-1",""
"7","http://localhost:8080/home/","2025-1-8","09:35:51","42","88","98.70000000111759","90.40000000037253","36.40000000037253","0","90.40000000037253","0","-1","-1","-1","-1",""
"8","http://localhost:8080/home/","2025-1-8","09:35:56","44","94","103.30000000074506","86.70000000111759","37","0","86.70000000111759","0","-1","-1","-1","-1",""
"9","http://localhost:8080/home/","2025-1-8","09:36:02","46","92","100.40000000037253","92.10000000149012","39.20000000111759","0","92.10000000149012","0","-1","-1","-1","-1",""
"10","http://localhost:8080/home/","2025-1-8","09:36:08","46","101","112","95.29999999888241","39.69999999925494","0","95.29999999888241","0","-1","-1","-1","-1",""
"11","http://localhost:8080/home/","2025-1-8","09:36:13","41","95","101.5","93.20000000111759","35.30000000074506","0","93.20000000111759","0","-1","-1","-1","-1",""
"12","http://localhost:8080/home/","2025-1-8","09:36:19","33","89","86.10000000149012","86.10000000149012","26.300000000745058","0","86.10000000149012","0","-1","-1","-1","-1",""
"13","http://localhost:8080/home/","2025-1-8","09:36:24","45","93","99","90.69999999925494","39","0","90.69999999925494","0","-1","-1","-1","-1",""
"14","http://localhost:8080/home/","2025-1-8","09:36:30","41","89","96.70000000111759","88.5","35.09999999962747","0","88.5","0","-1","-1","-1","-1",""
"15","http://localhost:8080/home/","2025-1-8","09:36:36","37","85","91.59999999962747","83.19999999925494","31.800000000745058","0","83.19999999925494","0","-1","-1","-1","-1",""
"16","http://localhost:8080/home/","2025-1-8","09:36:41","39","92","99.59999999962747","82.90000000037253","33.09999999962747","0","82.90000000037253","0","-1","-1","-1","-1",""
"17","http://localhost:8080/home/","2025-1-8","09:36:47","32","80","89.5","81.09999999962747","25.700000001117587","0","81.09999999962747","0","-1","-1","-1","-1",""
"18","http://localhost:8080/home/","2025-1-8","09:36:53","38","85","95","86.69999999925494","32.30000000074506","0","86.69999999925494","0","-1","-1","-1","-1",""
"19","http://localhost:8080/home/","2025-1-8","09:36:58","38","93","94.40000000037253","94.40000000037253","31.699999999254942","0","94.40000000037253","0","-1","-1","-1","-1",""
"20","http://localhost:8080/home/","2025-1-8","09:37:04","37","93","101.39999999850988","93","31.699999999254942","0","93","0","-1","-1","-1","-1",""
"21","http://localhost:8080/home/","2025-1-8","09:37:10","38","84","96.09999999962747","87.80000000074506","32.40000000037253","0","87.80000000074506","0","-1","-1","-1","-1",""
"22","http://localhost:8080/home/","2025-1-8","09:37:15","43","93","101.5","93.09999999962747","36.09999999962747","0","93.09999999962747","0","-1","-1","-1","-1",""
"23","http://localhost:8080/home/","2025-1-8","09:37:21","42","89","101.59999999962747","93.19999999925494","35.09999999962747","0","93.19999999925494","0","-1","-1","-1","-1",""
"24","http://localhost:8080/home/","2025-1-8","09:37:27","39","86","95.69999999925494","87.39999999850988","33.19999999925494","0","87.39999999850988","0","-1","-1","-1","-1",""
"25","http://localhost:8080/home/","2025-1-8","09:37:32","34","81","89.30000000074506","80.90000000037253","28.40000000037253","0","80.90000000037253","0","-1","-1","-1","-1",""
"26","http://localhost:8080/home/","2025-1-8","09:37:38","39","85","96.30000000074506","88","33.69999999925494","0","88","0","-1","-1","-1","-1",""
"27","http://localhost:8080/home/","2025-1-8","09:37:44","39","87","98.20000000111759","81.5","33.20000000111759","0","81.5","0","-1","-1","-1","-1",""
"28","http://localhost:8080/home/","2025-1-8","09:37:49","36","114","109.69999999925494","109.69999999925494","29.899999998509884","0","109.69999999925494","0","-1","-1","-1","-1",""
"29","http://localhost:8080/home/","2025-1-8","09:37:55","38","116","120.60000000149012","120.60000000149012","33","0","120.60000000149012","0","-1","-1","-1","-1",""
"30","http://localhost:8080/home/","2025-1-8","09:38:00","57","106","93.19999999925494","84.80000000074506","33.5","0","84.80000000074506","0","-1","-1","-1","-1",""
"31","http://localhost:8080/home/","2025-1-8","09:38:06","39","86","95","86.70000000111759","32.90000000037253","0","86.70000000111759","0","-1","-1","-1","-1",""
"32","http://localhost:8080/home/","2025-1-8","09:38:12","38","85","101.39999999850988","84.69999999925494","32.79999999888241","0","84.69999999925494","0","-1","-1","-1","-1",""
"33","http://localhost:8080/home/","2025-1-8","09:38:17","41","99","95","95","34.19999999925494","0","95","0","-1","-1","-1","-1",""
"34","http://localhost:8080/home/","2025-1-8","09:38:23","37","87","93.80000000074506","85.40000000037253","31.59999999962747","0","85.40000000037253","0","-1","-1","-1","-1",""
"35","http://localhost:8080/home/","2025-1-8","09:38:29","32","78","89.10000000149012","80.70000000111759","26.90000000037253","0","80.70000000111759","0","-1","-1","-1","-1",""
"36","http://localhost:8080/home/","2025-1-8","09:38:34","38","82","94.80000000074506","86.5","32.40000000037253","0","86.5","0","-1","-1","-1","-1",""
"37","http://localhost:8080/home/","2025-1-8","09:38:40","43","91","96.79999999888241","88.5","36.29999999888241","0","88.5","0","-1","-1","-1","-1",""
"38","http://localhost:8080/home/","2025-1-8","09:38:46","36","82","91.59999999962747","83.29999999888241","29.09999999962747","0","83.29999999888241","0","-1","-1","-1","-1",""
"39","http://localhost:8080/home/","2025-1-8","09:38:51","36","81","91.5","83.19999999925494","30.09999999962747","0","83.19999999925494","0","-1","-1","-1","-1",""
"40","http://localhost:8080/home/","2025-1-8","09:38:57","34","80","87.90000000037253","79.59999999962747","27.5","0","79.59999999962747","0","-1","-1","-1","-1",""
"41","http://localhost:8080/home/","2025-1-8","09:39:03","41","90","101.5","84.80000000074506","34.40000000037253","0","84.80000000074506","0","-1","-1","-1","-1",""
"42","http://localhost:8080/home/","2025-1-8","09:39:08","42","88","99.19999999925494","90.79999999888241","35.40000000037253","0","90.79999999888241","0","-1","-1","-1","-1",""
"43","http://localhost:8080/home/","2025-1-8","09:39:14","36","84","92.90000000037253","84.59999999962747","30.800000000745058","0","84.59999999962747","0","-1","-1","-1","-1",""
"44","http://localhost:8080/home/","2025-1-8","09:39:19","47","95","95.09999999962747","78.40000000037253","28.300000000745058","0","78.40000000037253","0","-1","-1","-1","-1",""
